###########################################################;;;;;;;;;;;;;x
USA_destroyer_technology_0;WWI Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_1;BuShips 1918 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_2;BuShips 1930 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_3;BuShips 1932 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_4;BuShips 1934 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_0;;;;;;;;;;;;;;x
USA_destroyer_class_1;BuShips 1936 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_2;BuShips 1938 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_3;BuShips 1940 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_4;BuShips 1942 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_5;BuShips 1944 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_6;BuShips 1946 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_7;BuShips 1948 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_8;BuShips 1950 Destroyer Blueprint;;;;;;;;;;;;;x
USA_frigate_class_0;;;;;;;;;;;;;;x
USA_frigate_class_1;BuShips 1939 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_2;BuShips 1940 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_3;BuShips 1942 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_4;BuShips 1944 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_5;BuShips 1946 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_6;BuShips 1948 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_7;BuShips 1950 Frigate Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_0;;;;;;;;;;;;;;x
USA_torpedo_boat_class_1;BuShips 1918 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_2;BuShips 1932 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_3;BuShips 1934 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_4;BuShips 1936 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_5;BuShips 1938 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_6;BuShips 1940 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_7;BuShips 1942 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_8;BuShips 1944 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_9;BuShips 1946 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_10;BuShips 1948 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_11;BuShips 1950 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_0;;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_1;BuShips 1918 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_2;BuShips 1932 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_3;BuShips 1934 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_4;BuShips 1936 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_5;BuShips 1938 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_6;BuShips 1940 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_7;BuShips 1942 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_8;BuShips 1944 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_9;BuShips 1946 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_10;BuShips 1948 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_11;BuShips 1950 MTB Blueprint;;;;;;;;;;;;;x
USA_cruiser_screws_and_rudder_optimisation_4;4-Blade Bronze 4.9m pitch / Balanced, 1.500 psi;;;;;;;;;;;;;;x
USA_cruiser_screws_and_rudder_optimisation_5;4-Blade Bronze 5.0m pitch / Balanced, 1.600 psi;;;;;;;;;;;;;;x
USA_cruiser_screws_and_rudder_optimisation_6;4-Blade Bronze 5.1m pitch / Balanced, 1.600 psi;;;;;;;;;;;;;;x
USA_cruiser_screws_and_rudder_optimisation_7;4-Blade Bronze 5.1m pitch / Balanced, 1.700 psi;;;;;;;;;;;;;;x
USA_cruiser_screws_and_rudder_optimisation_8;4-Blade Bronze 5.3m pitch / Balanced, 1.700 psi;;;;;;;;;;;;;;x
USA_cruiser_screws_and_rudder_optimisation_9;4-Blade Bronze 5.5m pitch / Balanced, 1.800 psi;;;;;;;;;;;;;;x
USA_cruiser_hull_shape_optimisation_0;;;;;;;;;;;;;;;x
USA_cruiser_hull_shape_optimisation_1;BuShips Hull Blueprint 1918;;;;;;;;;;;;;x
USA_cruiser_hull_shape_optimisation_2;BuShips Hull Blueprint 1929;;;;;;;;;;;;;x
USA_cruiser_hull_shape_optimisation_3;BuShips Hull Blueprint 1932;;;;;;;;;;;;;x
USA_cruiser_hull_shape_optimisation_4;BuShips Hull Blueprint 1935;;;;;;;;;;;;;x
USA_cruiser_hull_shape_optimisation_5;BuShips Hull Blueprint 1938;;;;;;;;;;;;;x
USA_cruiser_hull_shape_optimisation_6;BuShips Hull Blueprint 1941;;;;;;;;;;;;;x
USA_cruiser_hull_shape_optimisation_7;BuShips Hull Blueprint 1944;;;;;;;;;;;;;x
USA_cruiser_hull_shape_optimisation_8;BuShips Hull Blueprint 1947;;;;;;;;;;;;;x
USA_cruiser_hull_shape_optimisation_9;BuShips Hull Blueprint 1950;;;;;;;;;;;;;x
USA_lightcruiser_armour_thickness_0;;;;;;;;;;;;;;;x
USA_lightcruiser_armour_thickness_1;Turrets: 38mm, Barbettes: 38mm;;;;;;;;;;;;;;x
USA_lightcruiser_armour_thickness_2;Turrets: 140mm, Barbettes: 140mm;;;;;;;;;;;;;;x
USA_lightcruiser_armour_thickness_3;Turrets: 145mm, Barbettes: 145mm;;;;;;;;;;;;;;x
USA_lightcruiser_armour_thickness_4;Turrets: 152mm, Barbettes: 152mm;;;;;;;;;;;;;;x
USA_lightcruiser_armour_thickness_5;Turrets: 160mm, Barbettes: 152mm;;;;;;;;;;;;;;x
USA_lightcruiser_armour_thickness_6;Turrets: 165mm, Barbettes: 152mm;;;;;;;;;;;;;;x
USA_lightcruiser_armour_thickness_7;Turrets: 165mm, Barbettes: 165mm;;;;;;;;;;;;;;x
USA_lightcruiser_armour_thickness_8;Turrets: 175mm, Barbettes: 165mm;;;;;;;;;;;;;;x
USA_lightcruiser_armour_thickness_9;Turrets: 175mm, Barbettes: 175mm;;;;;;;;;;;;;;x
USA_lightcruiser_armour_thickness_10;Turrets: 180mm, Barbettes: 175mm;;;;;;;;;;;;;;x
USA_lightcruiser_armour_thickness_11;Turrets: 185mm, Barbettes: 180mm;;;;;;;;;;;;;;x
USA_lightcruiser_armour_thickness_12;Turrets: 190mm, Barbettes: 190mm;;;;;;;;;;;;;;x
USA_heavy_cruiser_armour_thickness_0;;;;;;;;;;;;;;;x
USA_heavy_cruiser_armour_thickness_1;Turrets: 64mm, Barbettes: 64mm;;;;;;;;;;;;;;x
USA_heavy_cruiser_armour_thickness_2;Turrets: 190mm, Barbettes: 115mm;;;;;;;;;;;;;;x
USA_heavy_cruiser_armour_thickness_3;Turrets: 203mm, Barbettes: 115mm;;;;;;;;;;;;;;x
USA_heavy_cruiser_armour_thickness_4;Turrets: 203mm, Barbettes: 127mm;;;;;;;;;;;;;;x
USA_heavy_cruiser_armour_thickness_5;Turrets: 203mm, Barbettes: 152mm;;;;;;;;;;;;;;x
USA_heavy_cruiser_armour_thickness_6;Turrets: 203mm, Barbettes: 152mm;;;;;;;;;;;;;;x
USA_heavy_cruiser_armour_thickness_7;Turrets: 203mm, Barbettes: 165mm;;;;;;;;;;;;;;x
USA_heavy_cruiser_armour_thickness_8;Turrets: 203mm, Barbettes: 170mm;;;;;;;;;;;;;;x
USA_heavy_cruiser_armour_thickness_9;Turrets: 203mm, Barbettes: 175mm;;;;;;;;;;;;;;x
USA_heavy_cruiser_armour_thickness_10;Turrets: 203mm, Barbettes: 180mm;;;;;;;;;;;;;;x
USA_heavy_cruiser_armour_thickness_11;Turrets: 203mm, Barbettes: 190mm;;;;;;;;;;;;;;x
USA_heavy_cruiser_armour_thickness_12;Turrets: 203mm, Barbettes: 203mm;;;;;;;;;;;;;;x
USA_cruiser_bulkheads_layout_0;;;;;;;;;;;;;;;x
USA_cruiser_bulkheads_layout_1;CL: 38mm / CA: 89mm;;;;;;;;;;;;;;x
USA_cruiser_bulkheads_layout_2;CL: 115mm / CA: 102mm;;;;;;;;;;;;;;x
USA_cruiser_bulkheads_layout_3;CL: 115mm / CA: 102mm;;;;;;;;;;;;;;x
USA_cruiser_bulkheads_layout_4;CL: 127mm / CA: 102mm;;;;;;;;;;;;;;x
USA_cruiser_bulkheads_layout_5;CL: 127mm / CA: 127mm;;;;;;;;;;;;;;x
USA_cruiser_bulkheads_layout_6;CL: 127mm / CA: 140mm;;;;;;;;;;;;;;x
USA_cruiser_bulkheads_layout_7;CL: 127mm / CA: 152mm;;;;;;;;;;;;;;x
USA_cruiser_bulkheads_layout_8;CL: 127mm / CA: 165mm;;;;;;;;;;;;;;x
USA_cruiser_bulkheads_layout_9;CL: 134mm / CA: 165mm;;;;;;;;;;;;;;x
USA_cruiser_bulkheads_layout_10;CL: 134mm / CA: 175mm;;;;;;;;;;;;;;x
USA_cruiser_bulkheads_layout_11;CL: 140mm / CA: 185mm;;;;;;;;;;;;;;x
USA_cruiser_bulkheads_layout_12;CL: 140mm / CA: 203mm;;;;;;;;;;;;;;x
USA_cruiser_horizontal_protection_layout_0;;;;;;;;;;;;;;;x
USA_cruiser_horizontal_protection_layout_1;CL: 38mm / CA: 32mm;;;;;;;;;;;;;;x
USA_cruiser_horizontal_protection_layout_2;CL: 51mm / CA: 64mm;;;;;;;;;;;;;;x
USA_cruiser_horizontal_protection_layout_3;CL: 51mm / CA: 57mm;;;;;;;;;;;;;;x
USA_cruiser_horizontal_protection_layout_4;CL: 51mm / CA: 57mm;;;;;;;;;;;;;;x
USA_cruiser_horizontal_protection_layout_5;CL: 51mm / CA: 76mm;;;;;;;;;;;;;;x
USA_cruiser_horizontal_protection_layout_6;CL: 51mm / CA: 76mm;;;;;;;;;;;;;;x
USA_cruiser_horizontal_protection_layout_7;CL: 51mm / CA: 76mm;;;;;;;;;;;;;;x
USA_cruiser_horizontal_protection_layout_8;CL: 75mm / CA: 95mm;;;;;;;;;;;;;;x
USA_cruiser_horizontal_protection_layout_9;CL: 85mm / CA: 105mm;;;;;;;;;;;;;;x
USA_cruiser_horizontal_protection_layout_10;CL: 95mm / CA: 115mm;;;;;;;;;;;;;;x
USA_cruiser_horizontal_protection_layout_11;CL: 115mm / CA: 125mm;;;;;;;;;;;;;;x
USA_cruiser_horizontal_protection_layout_12;CL: 125mm / CA: 135mm;;;;;;;;;;;;;;x
USA_cruiser_vertical_protection_layout_0;;;;;;;;;;;;;;;x
USA_cruiser_vertical_protection_layout_1;CL: 76mm / CA: 76mm;;;;;;;;;;;;;;x
USA_cruiser_vertical_protection_layout_2;CL: 127mm / CA: 127mm;;;;;;;;;;;;;;x
USA_cruiser_vertical_protection_layout_3;CL: 127mm / CA: 127mm;;;;;;;;;;;;;;x
USA_cruiser_vertical_protection_layout_4;CL: 127mm / CA: 152mm;;;;;;;;;;;;;;x
USA_cruiser_vertical_protection_layout_5;CL: 127mm / CA: 152mm;;;;;;;;;;;;;;x
USA_cruiser_vertical_protection_layout_6;CL: 127mm / CA: 152mm;;;;;;;;;;;;;;x
USA_cruiser_vertical_protection_layout_7;CL: 127mm / CA: 160mm;;;;;;;;;;;;;;x
USA_cruiser_vertical_protection_layout_8;CL: 127mm / CA: 170mm;;;;;;;;;;;;;;x
USA_cruiser_vertical_protection_layout_9;CL: 127mm / CA: 180mm;;;;;;;;;;;;;;x
USA_cruiser_vertical_protection_layout_10;CL: 127mm / CA: 190mm;;;;;;;;;;;;;;x
USA_cruiser_vertical_protection_layout_11;CL: 127mm / CA: 203mm;;;;;;;;;;;;;;x
USA_cruiser_vertical_protection_layout_12;CL: 127mm / CA: 210mm;;;;;;;;;;;;;;x
USA_mediumwarship_surface_radar_0;;;;;;;;;;;;;;;x
USA_mediumwarship_surface_radar_1;SC-1 / CXAM;;;;;;;;;;;;;;x
USA_mediumwarship_surface_radar_2;SC-1 / CXAM-1;;;;;;;;;;;;;;x
USA_mediumwarship_surface_radar_3;SC-2 / SG-1;;;;;;;;;;;;;;x
USA_mediumwarship_surface_radar_4;SC-3 / SG-2;;;;;;;;;;;;;;x
USA_mediumwarship_surface_radar_5;SC-3A / SG-3;;;;;;;;;;;;;;x
USA_mediumwarship_surface_radar_6;SC-4 / SG-4;;;;;;;;;;;;;;x
USA_mediumwarship_surface_radar_7;SC-4 / SG-A;;;;;;;;;;;;;;x
USA_mediumwarship_surface_radar_8;SC-5 / SG-B;;;;;;;;;;;;;;x
USA_mediumwarship_surface_radar_9;SC-5 / SG-C;;;;;;;;;;;;;;x
USA_mediumwarship_surface_radar_10;SC-6 / SG-C;;;;;;;;;;;;;;x
USA_mediumwarship_surface_radar_11;SC-6 / SG-D;;;;;;;;;;;;;;x
USA_mediumwarship_airsearch_radar_0;;;;;;;;;;;;;;;x
USA_mediumwarship_airsearch_radar_1;SC-1;;;;;;;;;;;;;;x
USA_mediumwarship_airsearch_radar_2;SC-1;;;;;;;;;;;;;;x
USA_mediumwarship_airsearch_radar_3;SC-2;;;;;;;;;;;;;;x
USA_mediumwarship_airsearch_radar_4;SC-3;;;;;;;;;;;;;;x
USA_mediumwarship_airsearch_radar_5;SC-3A;;;;;;;;;;;;;;x
USA_mediumwarship_airsearch_radar_6;SC-4;;;;;;;;;;;;;;x
USA_mediumwarship_airsearch_radar_7;SC-4;;;;;;;;;;;;;;x
USA_mediumwarship_airsearch_radar_8;SC-5;;;;;;;;;;;;;;x
USA_mediumwarship_airsearch_radar_9;SC-5;;;;;;;;;;;;;;x
USA_mediumwarship_airsearch_radar_10;SC-6;;;;;;;;;;;;;;x
USA_mediumwarship_airsearch_radar_11;SC-7;;;;;;;;;;;;;;x
USA_cruiser_damage_control_0;;;;;;;;;;;;;;;x
USA_cruiser_damage_control_1;;;;;;;;;;;;;;;x
USA_cruiser_damage_control_2;;;;;;;;;;;;;;;x
USA_cruiser_damage_control_3;;;;;;;;;;;;;;;x
USA_cruiser_damage_control_4;;;;;;;;;;;;;;;x
USA_cruiser_damage_control_5;;;;;;;;;;;;;;;x
USA_cruiser_damage_control_6;;;;;;;;;;;;;;;x
USA_cruiser_damage_control_7;;;;;;;;;;;;;;;x
USA_cruiser_fire_control_computer_0;;;;;;;;;;;;;;x
USA_cruiser_fire_control_computer_1;12 ft Barr & Stroud, Mk 19 Director;;;;;;;;;;;;;;x
USA_cruiser_fire_control_computer_2;Mk28/Mk29 RF, Mk8 Computer, Mk 24 Director;;;;;;;;;;;;;;x
USA_cruiser_fire_control_computer_3;Mk28/Mk29/Mk41 RF, Mk8 Computer, Mk 24 Director;;;;;;;;;;;;;;x
USA_cruiser_fire_control_computer_4;Mk28/Mk29/Mk41 RF, Mk9 Computer, Mk 24 Director, CXAM radar;;;;;;;;;;;;;;x
USA_cruiser_fire_control_computer_5;Mk41 RF, Mk9 Computer, Mk 34 Director, Mk 8 Radar;;;;;;;;;;;;;;x
USA_cruiser_fire_control_computer_6;Mk41 RF, Mk34 Computer, Mk 34/38 Director, Mk 13 Radar;;;;;;;;;;;;;;x
USA_cruiser_fire_control_computer_7;Mk41 RF, Mk34 Computer, Mk 38 Director, Mk 13 Radar;;;;;;;;;;;;;;x
USA_cruiser_AAA_control_computer_0;;;;;;;;;;;;;;;x
USA_cruiser_AAA_control_computer_1;Mk 28 Director, Ford FCS Mk I;;;;;;;;;;;;;;x
USA_cruiser_AAA_control_computer_2;Mk 28 Director, Ford FCS Mk I/II;;;;;;;;;;;;;;x
USA_cruiser_AAA_control_computer_3;Mk 33 Director, Ford FCS Mk I/II, Mk 4 Radar;;;;;;;;;;;;;;x
USA_cruiser_AAA_control_computer_4;Mk 33/37 Director, Ford FCS Mk I/II, Mk 4/12 Radar;;;;;;;;;;;;;;x
USA_cruiser_AAA_control_computer_5;Mk 37 Director, Ford FCS Mk II, Mk 4/12/22 Radar;;;;;;;;;;;;;;x
USA_cruiser_AAA_control_computer_6;Mk 37 Director, Ford FCS Mk II, Mk 12/22 Radar;;;;;;;;;;;;;;x
USA_cruiser_AAA_control_computer_7;Mk 40 Director, Ford FCS Mk II, Mk 22 Radar;;;;;;;;;;;;;;x
USA_cruiser_light_anti_air_artilery_0;;;;;;;;;;;;;;;x
USA_cruiser_light_anti_air_artilery_1;2-pounder MkI/II, .50 cal Browning M2;;;;;;;;;;;;;;x
USA_cruiser_light_anti_air_artilery_2;2-pounder MkII, .50 cal Browning M2;;;;;;;;;;;;;;x
USA_cruiser_light_anti_air_artilery_3;2-pounder MkII, .50 cal Browning M2;;;;;;;;;;;;;;x
USA_cruiser_light_anti_air_artilery_4;2-pounder MkII/III, .50 cal Browning M2;;;;;;;;;;;;;;x
USA_cruiser_light_anti_air_artilery_5;40mm Bofors Mk 1/2, 20mm Oerlikon Mk4 / Mk10;;;;;;;;;;;;;;x
USA_cruiser_light_anti_air_artilery_6;40mm Bofors Mk 2, 20mm Oerlikon Mk4 / Mk10;;;;;;;;;;;;;;x
USA_cruiser_light_anti_air_artilery_7;40mm Bofors Mk 2, 20mm Oerlikon Mk10;;;;;;;;;;;;;;x
USA_cruiser_medium_anti_air_artilery_0;;;;;;;;;;;;;;;x
USA_cruiser_medium_anti_air_artilery_1;;;;;;;;;;;;;;;x
USA_cruiser_medium_anti_air_artilery_2;;;;;;;;;;;;;;;x
USA_cruiser_medium_anti_air_artilery_3;;;;;;;;;;;;;;;x
USA_cruiser_medium_anti_air_artilery_4;;;;;;;;;;;;;;;x
USA_cruiser_medium_anti_air_artilery_5;;;;;;;;;;;;;;;x
USA_cruiser_medium_anti_air_artilery_6;;;;;;;;;;;;;;;x
USA_cruiser_medium_anti_air_artilery_7;;;;;;;;;;;;;;;x
USA_cruiser_anti_air_artilery_focus_0;;;;;;;;;;;;;;;x
USA_cruiser_anti_air_artilery_focus_1;;;;;;;;;;;;;;;x
USA_cruiser_anti_air_artilery_focus_2;;;;;;;;;;;;;;;x
USA_cruiser_anti_air_artilery_focus_3;;;;;;;;;;;;;;;x
USA_cruiser_heavy_anti_air_artilery_0;;;;;;;;;;;;;;;x
USA_cruiser_heavy_anti_air_artilery_1;5"/25 Mk9;;;;;;;;;;;;;x
USA_cruiser_heavy_anti_air_artilery_2;5"/25 Mk9, 5"/38 Mk12 / Mk14;;;;;;;;;;;;;x
USA_cruiser_heavy_anti_air_artilery_3;5"/38 Mk12 / Mk14, 5"/25 Mk9;;;;;;;;;;;;;x
USA_cruiser_heavy_anti_air_artilery_4;5"/38 Mk12 / Mk14;;;;;;;;;;;;;x
USA_cruiser_heavy_anti_air_artilery_5;5"/38 Mk14;;;;;;;;;;;;;x
USA_cruiser_heavy_anti_air_artilery_6;5"/38 Mk16;;;;;;;;;;;;;x
USA#########################################################################;;;;;;;;;;;;;x
USA_battleship_technology_0;BuShips 1918 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_technology_1;BuShips 1918 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_technology_2;BuShips 1930 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_technology_3;BuShips 1933 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_class_1;BuShips 1936 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_class_2;BuShips 1939 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_class_3;BuShips 1942 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_class_4;BuShips 1945 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_class_5;BuShips 1948 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_class_6;BuShips 1951 Battleship Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_technology_0;;;;;;;;;;;;;;x
USA_battlecruiser_technology_1;BuShips 1918 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_technology_2;BuShips 1930 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_technology_3;BuShips 1933 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_class_1;BuShips 1936 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_class_2;BuShips 1939 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_class_3;BuShips 1942 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_class_4;BuShips 1945 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_class_5;BuShips 1948 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_class_6;BuShips 1951 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_pocket_battleship_activation_0;BuShips 1933 Pocket Battleship Blueprint;;;;;;;;;;;;;x
USA_pocket_battleship_activation_1;BuShips 1933 Pocket Battleship Blueprint;;;;;;;;;;;;;x
USA_pocket_battleship_activation_2;BuShips 1936 Pocket Battleship Blueprint;;;;;;;;;;;;;x
USA_pocket_battleship_activation_3;BuShips 1939 Pocket Battleship Blueprint;;;;;;;;;;;;;x
USA_pocket_battleship_activation_4;BuShips 1942 Pocket Battleship Blueprint;;;;;;;;;;;;;x
USA_pocket_battleship_activation_5;BuShips 1945 Pocket Battleship Blueprint;;;;;;;;;;;;;x
USA_pocket_battleship_activation_6;BuShips 1948 Pocket Battleship Blueprint;;;;;;;;;;;;;x
USA_capitalship_armament_0;;;;;;;;;;;;;;;x
USA_capitalship_armament_1;BC/BB: 14"/50 Mk IV;;;;;;;;;;;;;;x
USA_capitalship_armament_2;BC/BB: 14"/50 Mk V;;;;;;;;;;;;;;x
USA_capitalship_armament_3;BC/BB: 16"/45 Mk I/II;;;;;;;;;;;;;;x
USA_capitalship_armament_4;BC/BB: 16"/45 Mk 6 / SHBB: 16"/50 Mk 7;;;;;;;;;;;;;;x
USA_capitalship_armament_5;BC/BB: 16"/50 Mk 7 / SHBB: 18"/45 Mk 4;;;;;;;;;;;;;;x
USA_capitalship_armament_6;BC/BB: 16"/50 Mk 8 / SHBB: 18"/45 Mk 6;;;;;;;;;;;;;;x
USA_capitalship_armament_7;BC/BB: 16"/50 Mk 8 / SHBB: 18"/50 Mk 8;;;;;;;;;;;;;;x
USA_capitalship_armament_8;BC/BB: 16"/50 Mk 9 / SHBB: 20"/50 Mk 9;;;;;;;;;;;;;;x
USA_capitalship_armament_9;BC/BB: 16"/50 Mk 10 / SHBB: 20"/50 Mk 10;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_1;AP Mk 3;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_2;AP Mk 4;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_3;AP Mk 5;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_4;AP Mk 6;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_5;AP Mk 7/13;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_6;AP Mk 13;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_7;AP Mk 14;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_8;AP Mk 15;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_9;AP Mk 16;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_1;HE Mk 3;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_2;HE Mk 4;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_3;HE Mk 5;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_4;HE Mk 6;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_5;HE Mk 7;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_6;HE Mk 8;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_7;HE Mk 9;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_8;HE Mk 10;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_9;HE Mk 11;;;;;;;;;;;;;;x
USA_capitalship_secondary_1;5"/51 Mk7 / Mk8, 6"/53 Mk14;;;;;;;;;;;;;;x
USA_capitalship_secondary_2;5"/51 Mk7/8, 5"/25 Mk9/Mk10;;;;;;;;;;;;;;x
USA_capitalship_secondary_3;5"/51 Mk8, 5"/25 Mk9/Mk10;;;;;;;;;;;;;;x
USA_capitalship_secondary_4;5"/38 Mk12, 5"/51 Mk8, 5"/25 Mk9/Mk10;;;;;;;;;;;;;;x
USA_capitalship_secondary_5;5"/38 Mk12, 5"/51 Mk8;;;;;;;;;;;;;;x
USA_capitalship_secondary_6;5"/38 Mk12;;;;;;;;;;;;;;x
USA_capitalship_secondary_7;5"/38 Mk13;;;;;;;;;;;;;;x
USA_capitalship_secondary_8;5"/38 Mk15;;;;;;;;;;;;;;x
USA_capitalship_secondary_9;5"/38 Mk18;;;;;;;;;;;;;;x
USA_capital_ship_engine_1;28.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_2;32.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_3;36.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_4;121.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_5;212.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_6;220.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_7;230.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_8;235.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_9;240.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_boilers_1;12x Babcock & Wilcox, 295 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_2;12-14x Babcock & Wilcox, 295 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_3;14x Babcock & Wilcox, 295 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_4;8x Babcock & Wilcox, 600 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_5;9x Babcock & Wilcox, 600 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_6;12x Babcock & Wilcox, 600 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_7;12x Babcock & Wilcox, 700 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_8;14x Babcock & Wilcox, 700 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_9;14x Babcock & Wilcox, 750 psi;;;;;;;;;;;;;;x
USA_capital_ship_turbines_1;GE / Westinghouse Mk 15;;;;;;;;;;;;;;x
USA_capital_ship_turbines_2;GE / Westinghouse Mk 15/16;;;;;;;;;;;;;;x
USA_capital_ship_turbines_3;GE / Westinghouse Mk 16;;;;;;;;;;;;;;x
USA_capital_ship_turbines_4;GE / Westinghouse Mk 17;;;;;;;;;;;;;;x
USA_capital_ship_turbines_5;GE / Westinghouse Mk 18;;;;;;;;;;;;;;x
