###########################################################;;;;;;;;;;;;;x
SOV_destroyer_technology_0;WWI Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_1;TsKB-17 1918 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_2;TsKB-17 1930 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_3;TsKB-17 1932 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_4;TsKB-17 1934 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_0;;;;;;;;;;;;;;x
SOV_destroyer_class_1;TsKB-17 1936 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_2;TsKB-17 1938 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_3;TsKB-17 1940 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_4;TsKB-17 1942 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_5;TsKB-17 1944 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_6;TsKB-17 1946 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_7;TsKB-17 1948 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_8;TsKB-17 1950 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_0;;;;;;;;;;;;;;x
SOV_frigate_class_1;TsKB-17 1939 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_2;TsKB-17 1940 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_3;TsKB-17 1942 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_4;TsKB-17 1944 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_5;TsKB-17 1946 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_6;TsKB-17 1948 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_7;TsKB-17 1950 Frigate Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_0;;;;;;;;;;;;;;x
SOV_torpedo_boat_class_1;TsKB-17 1918 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_2;TsKB-17 1932 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_3;TsKB-17 1934 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_4;TsKB-17 1936 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_5;TsKB-17 1938 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_6;TsKB-17 1940 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_7;TsKB-17 1942 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_8;TsKB-17 1944 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_9;TsKB-17 1946 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_10;TsKB-17 1948 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_11;TsKB-17 1950 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_0;;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_1;TsKB-17 1918 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_2;TsKB-17 1932 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_3;TsKB-17 1934 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_4;TsKB-17 1936 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_5;TsKB-17 1938 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_6;TsKB-17 1940 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_7;TsKB-17 1942 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_8;TsKB-17 1944 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_9;TsKB-17 1946 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_10;TsKB-17 1948 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_11;TsKB-17 1950 MTB Blueprint;;;;;;;;;;;;;x
SOV_cruiser_screws_and_rudder_optimisation_3;4-Blade Bronze 4.9m pitch /Semi-bal 5.2m;;;;;;;;;;;;;;x
SOV_cruiser_screws_and_rudder_optimisation_4;4-Blade Bronze 5m pitch /Semi-bal 5.3m;;;;;;;;;;;;;;x
SOV_cruiser_screws_and_rudder_optimisation_5;4-Blade Mn-Bronze 5.2m pitch /Semi-bal 5.5m;;;;;;;;;;;;;;x
SOV_cruiser_screws_and_rudder_optimisation_6;4-Blade Bronze 5.3m pitch /Semi-bal 5.6m;;;;;;;;;;;;;;x
SOV_cruiser_screws_and_rudder_optimisation_7;4-Blade Bronze 5.4m pitch /Semi-bal 5.7m;;;;;;;;;;;;;;x
SOV_cruiser_screws_and_rudder_optimisation_8;4-Blade Bronze 5.5m pitch /Semi-bal 5.8m;;;;;;;;;;;;;;x
SOV_cruiser_screws_and_rudder_optimisation_9;4-Blade Bronze 5.6m pitch /Semi-bal 5.9m;;;;;;;;;;;;;;x
SOV_cruiser_hull_shape_optimisation_0;;;;;;;;;;;;;;x
SOV_cruiser_hull_shape_optimisation_1;TsKB-53 Hull Blueprint 1918;;;;;;;;;;;;;x
SOV_cruiser_hull_shape_optimisation_2;TsKB-53 Hull Blueprint 1929;;;;;;;;;;;;;x
SOV_cruiser_hull_shape_optimisation_3;TsKB-53 Hull Blueprint 1932;;;;;;;;;;;;;x
SOV_cruiser_hull_shape_optimisation_4;TsKB-53 Hull Blueprint 1935;;;;;;;;;;;;;x
SOV_cruiser_hull_shape_optimisation_5;TsKB-53 Hull Blueprint 1938;;;;;;;;;;;;;x
SOV_cruiser_hull_shape_optimisation_6;TsKB-53 Hull Blueprint 1941;;;;;;;;;;;;;x
SOV_cruiser_hull_shape_optimisation_7;TsKB-53 Hull Blueprint 1944;;;;;;;;;;;;;x
SOV_cruiser_hull_shape_optimisation_8;TsKB-53 Hull Blueprint 1947;;;;;;;;;;;;;x
SOV_cruiser_hull_shape_optimisation_9;TsKB-53 Hull Blueprint 1950;;;;;;;;;;;;;x
SOV_lightcruiser_armour_thickness_0;;;;;;;;;;;;;;;x
SOV_lightcruiser_armour_thickness_1;Turrets: 70mm, Barbettes: 70mm;;;;;;;;;;;;;;x
SOV_lightcruiser_armour_thickness_2;Turrets: 75mm, Barbettes: 75mm;;;;;;;;;;;;;;x
SOV_lightcruiser_armour_thickness_3;Turrets: 80mm, Barbettes: 80mm;;;;;;;;;;;;;;x
SOV_lightcruiser_armour_thickness_4;Turrets: 85mm, Barbettes: 85mm;;;;;;;;;;;;;;x
SOV_lightcruiser_armour_thickness_5;Turrets: 90mm, Barbettes: 90mm;;;;;;;;;;;;;;x
SOV_lightcruiser_armour_thickness_6;Turrets: 95mm, Barbettes: 95mm;;;;;;;;;;;;;;x
SOV_lightcruiser_armour_thickness_7;Turrets: 100mm, Barbettes: 100mm;;;;;;;;;;;;;;x
SOV_lightcruiser_armour_thickness_8;Turrets: 105mm, Barbettes: 105mm;;;;;;;;;;;;;;x
SOV_lightcruiser_armour_thickness_9;Turrets: 110mm, Barbettes: 110mm;;;;;;;;;;;;;;x
SOV_lightcruiser_armour_thickness_10;Turrets: 115mm, Barbettes: 115mm;;;;;;;;;;;;;;x
SOV_lightcruiser_armour_thickness_11;Turrets: 120mm, Barbettes: 120mm;;;;;;;;;;;;;;x
SOV_lightcruiser_armour_thickness_12;Turrets: 125mm, Barbettes: 125mm;;;;;;;;;;;;;;x
SOV_heavy_cruiser_armour_thickness_0;;;;;;;;;;;;;;;x
SOV_heavy_cruiser_armour_thickness_1;Turrets: 50mm, Barbettes: 0mm;;;;;;;;;;;;;;x
SOV_heavy_cruiser_armour_thickness_2;Turrets: 50mm, Barbettes: 50mm;;;;;;;;;;;;;;x
SOV_heavy_cruiser_armour_thickness_3;Turrets: 75mm, Barbettes: 75mm;;;;;;;;;;;;;;x
SOV_heavy_cruiser_armour_thickness_4;Turrets: 100mm, Barbettes: 100mm;;;;;;;;;;;;;;x
SOV_heavy_cruiser_armour_thickness_5;Turrets: 110mm, Barbettes: 110mm;;;;;;;;;;;;;;x
SOV_heavy_cruiser_armour_thickness_6;Turrets: 120mm, Barbettes: 120mm;;;;;;;;;;;;;;x
SOV_heavy_cruiser_armour_thickness_7;Turrets: 130mm, Barbettes: 130mm;;;;;;;;;;;;;;x
SOV_heavy_cruiser_armour_thickness_8;Turrets: 145mm, Barbettes: 145mm;;;;;;;;;;;;;;x
SOV_heavy_cruiser_armour_thickness_9;Turrets: 160mm, Barbettes: 160mm;;;;;;;;;;;;;;x
SOV_heavy_cruiser_armour_thickness_10;Turrets: 175mm, Barbettes: 175mm;;;;;;;;;;;;;;x
SOV_heavy_cruiser_armour_thickness_11;Turrets: 190mm, Barbettes: 190mm;;;;;;;;;;;;;;x
SOV_heavy_cruiser_armour_thickness_12;Turrets: 205mm, Barbettes: 205mm;;;;;;;;;;;;;;x
SOV_cruiser_bulkheads_layout_0;;;;;;;;;;;;;;;x
SOV_cruiser_bulkheads_layout_1;CL: 40mm / CA: 38mm;;;;;;;;;;;;;;x
SOV_cruiser_bulkheads_layout_2;CL: 45mm / CA: 50mm;;;;;;;;;;;;;;x
SOV_cruiser_bulkheads_layout_3;CL: 50mm / CA: 70mm;;;;;;;;;;;;;;x
SOV_cruiser_bulkheads_layout_4;CL: 55mm / CA: 75mm;;;;;;;;;;;;;;x
SOV_cruiser_bulkheads_layout_5;CL: 60mm / CA: 80mm;;;;;;;;;;;;;;x
SOV_cruiser_bulkheads_layout_6;CL: 65mm / CA: 85mm;;;;;;;;;;;;;;x
SOV_cruiser_bulkheads_layout_7;CL: 70mm / CA: 95mm;;;;;;;;;;;;;;x
SOV_cruiser_bulkheads_layout_8;CL: 75mm / CA: 105mm;;;;;;;;;;;;;;x
SOV_cruiser_bulkheads_layout_9;CL: 80mm / CA: 110mm;;;;;;;;;;;;;;x
SOV_cruiser_bulkheads_layout_10;CL: 85mm / CA: 120mm;;;;;;;;;;;;;;x
SOV_cruiser_bulkheads_layout_11;CL: 90mm / CA: 130mm;;;;;;;;;;;;;;x
SOV_cruiser_bulkheads_layout_12;CL: 95mm / CA: 140mm;;;;;;;;;;;;;;x
SOV_cruiser_horizontal_protection_layout_0;;;;;;;;;;;;;;;x
SOV_cruiser_horizontal_protection_layout_1;CL: 45mm / CA: 50mm;;;;;;;;;;;;;;x
SOV_cruiser_horizontal_protection_layout_2;CL: 50mm / CA: 50mm;;;;;;;;;;;;;;x
SOV_cruiser_horizontal_protection_layout_3;CL: 55mm / CA: 75mm;;;;;;;;;;;;;;x
SOV_cruiser_horizontal_protection_layout_4;CL: 65mm / CA: 80mm;;;;;;;;;;;;;;x
SOV_cruiser_horizontal_protection_layout_5;CL: 70mm / CA: 90mm;;;;;;;;;;;;;;x
SOV_cruiser_horizontal_protection_layout_6;CL: 75mm / CA: 95mm;;;;;;;;;;;;;;x
SOV_cruiser_horizontal_protection_layout_7;CL: 80mm / CA: 100mm;;;;;;;;;;;;;;x
SOV_cruiser_horizontal_protection_layout_8;CL: 85mm / CA: 110mm;;;;;;;;;;;;;;x
SOV_cruiser_horizontal_protection_layout_9;CL: 90mm / CA: 115mm;;;;;;;;;;;;;;x
SOV_cruiser_horizontal_protection_layout_10;CL: 95mm / CA: 120mm;;;;;;;;;;;;;;x
SOV_cruiser_horizontal_protection_layout_11;CL: 100mm / CA: 125mm;;;;;;;;;;;;;;x
SOV_cruiser_horizontal_protection_layout_12;CL: 105mm / CA: 130mm;;;;;;;;;;;;;;x
SOV_cruiser_vertical_protection_layout_0;;;;;;;;;;;;;;;x
SOV_cruiser_vertical_protection_layout_1;CL: 70mm / CA: 0mm;;;;;;;;;;;;;;x
SOV_cruiser_vertical_protection_layout_2;CL: 76mm / CA: 50mm;;;;;;;;;;;;;;x
SOV_cruiser_vertical_protection_layout_3;CL: 76mm / CA: 80mm;;;;;;;;;;;;;;x
SOV_cruiser_vertical_protection_layout_4;CL: 83mm / CA: 100mm;;;;;;;;;;;;;;x
SOV_cruiser_vertical_protection_layout_5;CL: 90mm / CA: 105mm;;;;;;;;;;;;;;x
SOV_cruiser_vertical_protection_layout_6;CL: 95mm / CA: 110mm;;;;;;;;;;;;;;x
SOV_cruiser_vertical_protection_layout_7;CL: 100mm / CA: 115mm;;;;;;;;;;;;;;x
SOV_cruiser_vertical_protection_layout_8;CL: 105mm / CA: 130mm;;;;;;;;;;;;;;x
SOV_cruiser_vertical_protection_layout_9;CL: 110mm / CA: 145mm;;;;;;;;;;;;;;x
SOV_cruiser_vertical_protection_layout_10;CL: 115mm / CA: 160mm;;;;;;;;;;;;;;x
SOV_cruiser_vertical_protection_layout_11;CL: 120mm / CA: 175mm;;;;;;;;;;;;;;x
SOV_cruiser_vertical_protection_layout_12;CL: 125mm / CA: 190mm;;;;;;;;;;;;;;x
SOV_mediumwarship_surface_radar_0;;;;;;;;;;;;;;;x
SOV_mediumwarship_surface_radar_1;Rif;;;;;;;;;;;;;;x
SOV_mediumwarship_surface_radar_2;Redut-K;;;;;;;;;;;;;;x
SOV_mediumwarship_surface_radar_3;Redut-3K;;;;;;;;;;;;;;x
SOV_mediumwarship_surface_radar_4;Giuis-1;;;;;;;;;;;;;;x
SOV_mediumwarship_surface_radar_5;Zalp;;;;;;;;;;;;;;x
SOV_mediumwarship_surface_radar_6;Redut-5K;;;;;;;;;;;;;;x
SOV_mediumwarship_surface_radar_7;Giuis-3;;;;;;;;;;;;;;x
SOV_mediumwarship_surface_radar_8;Redut-7K;;;;;;;;;;;;;;x
SOV_mediumwarship_surface_radar_9;Redut-8K;;;;;;;;;;;;;;x
SOV_mediumwarship_surface_radar_10;Giuis-4;;;;;;;;;;;;;;x
SOV_mediumwarship_surface_radar_11;Fut-N;;;;;;;;;;;;;;x
SOV_mediumwarship_airsearch_radar_0;;;;;;;;;;;;;;;x
SOV_mediumwarship_airsearch_radar_1;Rif;;;;;;;;;;;;;;x
SOV_mediumwarship_airsearch_radar_2;Rif-2;;;;;;;;;;;;;;x
SOV_mediumwarship_airsearch_radar_3;Rif-3;;;;;;;;;;;;;;x
SOV_mediumwarship_airsearch_radar_4;Giuis-1;;;;;;;;;;;;;;x
SOV_mediumwarship_airsearch_radar_5;Giuis-2;;;;;;;;;;;;;;x
SOV_mediumwarship_airsearch_radar_6;Giuis-3;;;;;;;;;;;;;;x
SOV_mediumwarship_airsearch_radar_7;Rif-4;;;;;;;;;;;;;;x
SOV_mediumwarship_airsearch_radar_8;Rif-5;;;;;;;;;;;;;;x
SOV_mediumwarship_airsearch_radar_9;Redan;;;;;;;;;;;;;;x
SOV_mediumwarship_airsearch_radar_10;Reya;;;;;;;;;;;;;;x
SOV_mediumwarship_airsearch_radar_11;Reya-2;;;;;;;;;;;;;;x
SOV_cruiser_damage_control_0;;;;;;;;;;;;;;;x
SOV_cruiser_damage_control_1;;;;;;;;;;;;;;;x
SOV_cruiser_damage_control_2;;;;;;;;;;;;;;;x
SOV_cruiser_damage_control_3;;;;;;;;;;;;;;;x
SOV_cruiser_damage_control_4;;;;;;;;;;;;;;;x
SOV_cruiser_damage_control_5;;;;;;;;;;;;;;;x
SOV_cruiser_damage_control_6;;;;;;;;;;;;;;;x
SOV_cruiser_damage_control_7;;;;;;;;;;;;;;;x
SOV_cruiser_fire_control_computer_0;;;;;;;;;;;;;;;x
SOV_cruiser_fire_control_computer_1;2/2.74m Barr & Stroud, Geisler & Co. mechanical deflection transmitters;;;;;;;;;;;;;;x
SOV_cruiser_fire_control_computer_2;DM-3/DM-4, Geisler & Co. mechanical deflection transmitters ;;;;;;;;;;;;;;x
SOV_cruiser_fire_control_computer_3;DM-3/DM-6, KDP-6/SPN-1;;;;;;;;;;;;;;x
SOV_cruiser_fire_control_computer_4;DM-6/KDP-6, SPN-1/SPN-2;;;;;;;;;;;;;;x
SOV_cruiser_fire_control_computer_5;KDP-6, SPN-2, Redut-K, Gyuys-1 radars;;;;;;;;;;;;;;x
SOV_cruiser_fire_control_computer_6;KDP-8/10, SPN-3/4, Redut-KM, Gyuys-1M radars;;;;;;;;;;;;;;x
SOV_cruiser_fire_control_computer_7;KDP-10, SPN-4M, Redut-KM, Gyuys-2/Gyuys-3 radars;;;;;;;;;;;;;;x
SOV_cruiser_AAA_control_computer_0;;;;;;;;;;;;;;;x
SOV_cruiser_AAA_control_computer_1;PUAZO-1;;;;;;;;;;;;;;x
SOV_cruiser_AAA_control_computer_2;PUAZO-1, PUAZO-2;;;;;;;;;;;;;;x
SOV_cruiser_AAA_control_computer_3;PUAZO-2;;;;;;;;;;;;;;x
SOV_cruiser_AAA_control_computer_4;PUAZO-2bis, PUAZO-3, SON-2 radar;;;;;;;;;;;;;;x
SOV_cruiser_AAA_control_computer_5;PUAZO-4, SON-3 radar;;;;;;;;;;;;;;x
SOV_cruiser_AAA_control_computer_6;PUAZO-4M, SON-3/4 radar;;;;;;;;;;;;;;x
SOV_cruiser_AAA_control_computer_7;PUAZO-4M, SON-4 radar;;;;;;;;;;;;;;x
SOV_cruiser_light_anti_air_artilery_0;;;;;;;;;;;;;;;x
SOV_cruiser_light_anti_air_artilery_1;7.62 mm Maxim M1910/30;;;;;;;;;;;;;;x
SOV_cruiser_light_anti_air_artilery_2;45 mm/46 21-K, 7.62 mm Maxim M1910/30;;;;;;;;;;;;;;x
SOV_cruiser_light_anti_air_artilery_3;45 mm/46 21-K, 12.7 mm DShK M1938;;;;;;;;;;;;;;x
SOV_cruiser_light_anti_air_artilery_4;37 mm/67 70-K, 45 mm/46 21-K, 12.7 mm DShK M1938;;;;;;;;;;;;;;x
SOV_cruiser_light_anti_air_artilery_5;37 mm/67 70-K, 37 mm V-11, 12.7 mm DShK;;;;;;;;;;;;;;x
SOV_cruiser_light_anti_air_artilery_6;37 mm V-11, 37 mm/67 70-K;;;;;;;;;;;;;;x
SOV_cruiser_light_anti_air_artilery_7;37 mm V-11, 45 mm SM-20-ZIF;;;;;;;;;;;;;;x
SOV_cruiser_medium_anti_air_artilery_0;;;;;;;;;;;;;;;x
SOV_cruiser_medium_anti_air_artilery_1;;;;;;;;;;;;;;;x
SOV_cruiser_medium_anti_air_artilery_2;;;;;;;;;;;;;;;x
SOV_cruiser_medium_anti_air_artilery_3;;;;;;;;;;;;;;;x
SOV_cruiser_medium_anti_air_artilery_4;;;;;;;;;;;;;;;x
SOV_cruiser_medium_anti_air_artilery_5;;;;;;;;;;;;;;;x
SOV_cruiser_medium_anti_air_artilery_6;;;;;;;;;;;;;;;x
SOV_cruiser_medium_anti_air_artilery_7;;;;;;;;;;;;;;;x
SOV_cruiser_anti_air_artilery_focus_0;;;;;;;;;;;;;;;x
SOV_cruiser_anti_air_artilery_focus_1;;;;;;;;;;;;;;;x
SOV_cruiser_anti_air_artilery_focus_2;;;;;;;;;;;;;;;x
SOV_cruiser_anti_air_artilery_focus_3;;;;;;;;;;;;;;;x
SOV_cruiser_heavy_anti_air_artilery_0;;;;;;;;;;;;;;;x
SOV_cruiser_heavy_anti_air_artilery_1;100mm/50 B-34 Pattern 1934;;;;;;;;;;;;;;x
SOV_cruiser_heavy_anti_air_artilery_2;100mm/50 B-34 Pattern 1934;;;;;;;;;;;;;;x
SOV_cruiser_heavy_anti_air_artilery_3;100mm/56 B-34 Pattern 1936;;;;;;;;;;;;;;x
SOV_cruiser_heavy_anti_air_artilery_4;100 mm/56 B-34U;;;;;;;;;;;;;;x
SOV_cruiser_heavy_anti_air_artilery_5;100 mm/56 B-34USM, SM-5-1 turrets;;;;;;;;;;;;;;x
SOV_cruiser_heavy_anti_air_artilery_6;100 mm/56 B-34USM, SM-5-1 turrets;;;;;;;;;;;;;;x
SOV#########################################################################;;;;;;;;;;;;;x
SOV_battleship_technology_0;TsKB-53 1918 Battleship Blueprint;;;;;;;;;;;;;x
SOV_battleship_technology_1;TsKB-53 1918 Battleship Blueprint;;;;;;;;;;;;;x
SOV_battleship_technology_2;TsKB-53 1930 Battleship Blueprint;;;;;;;;;;;;;x
SOV_battleship_technology_3;TsKB-53 1933 Battleship Blueprint;;;;;;;;;;;;;x
SOV_battleship_class_1;TsKB-53 1936 Battleship Blueprint;;;;;;;;;;;;;x
SOV_battleship_class_2;TsKB-53 1939 Battleship Blueprint;;;;;;;;;;;;;x
SOV_battleship_class_3;TsKB-53 1942 Battleship Blueprint;;;;;;;;;;;;;x
SOV_battleship_class_4;TsKB-53 1945 Battleship Blueprint;;;;;;;;;;;;;x
SOV_battleship_class_5;TsKB-53 1948 Battleship Blueprint;;;;;;;;;;;;;x
SOV_battleship_class_6;TsKB-53 1951 Battleship Blueprint;;;;;;;;;;;;;x
SOV_battlecruiser_technology_0;;;;;;;;;;;;;;x
SOV_battlecruiser_technology_1;TsKB-53 1918 Battlecruiser Blueprint;;;;;;;;;;;;;x
SOV_battlecruiser_technology_2;TsKB-53 1930 Battlecruiser Blueprint;;;;;;;;;;;;;x
SOV_battlecruiser_technology_3;TsKB-53 1933 Battlecruiser Blueprint;;;;;;;;;;;;;x
SOV_battlecruiser_class_1;TsKB-53 1936 Battlecruiser Blueprint;;;;;;;;;;;;;x
SOV_battlecruiser_class_2;TsKB-53 1939 Battlecruiser Blueprint;;;;;;;;;;;;;x
SOV_battlecruiser_class_3;TsKB-53 1942 Battlecruiser Blueprint;;;;;;;;;;;;;x
SOV_battlecruiser_class_4;TsKB-53 1945 Battlecruiser Blueprint;;;;;;;;;;;;;x
SOV_battlecruiser_class_5;TsKB-53 1948 Battlecruiser Blueprint;;;;;;;;;;;;;x
SOV_battlecruiser_class_6;TsKB-53 1951 Battlecruiser Blueprint;;;;;;;;;;;;;x
SOV_pocket_battleship_activation_0;TsKB-53 1933 Pocket Battleship Blueprint;;;;;;;;;;;;;x
SOV_pocket_battleship_activation_1;TsKB-53 1933 Pocket Battleship Blueprint;;;;;;;;;;;;;x
SOV_pocket_battleship_activation_2;TsKB-53 1936 Pocket Battleship Blueprint;;;;;;;;;;;;;x
SOV_pocket_battleship_activation_3;TsKB-53 1939 Pocket Battleship Blueprint;;;;;;;;;;;;;x
SOV_pocket_battleship_activation_4;TsKB-53 1942 Pocket Battleship Blueprint;;;;;;;;;;;;;x
SOV_pocket_battleship_activation_5;TsKB-53 1945 Pocket Battleship Blueprint;;;;;;;;;;;;;x
SOV_pocket_battleship_activation_6;TsKB-53 1948 Pocket Battleship Blueprint;;;;;;;;;;;;;x
SOV_capitalship_armament_0;;;;;;;;;;;;;;;x
SOV_capitalship_armament_1;BC/BB: 305mm/52 Pattern 1907;;;;;;;;;;;;;;x
SOV_capitalship_armament_2;BC/BB: 356mm/52 Pattern 1913;;;;;;;;;;;;;;x
SOV_capitalship_armament_3;BC/BB: 356mm/54 B-50;;;;;;;;;;;;;;x
SOV_capitalship_armament_4;BC/BB: 380mm/45 B-35 / SHBB: 457mm/48 B-45;;;;;;;;;;;;;;x
SOV_capitalship_armament_5;BC/BB: 380mm/50 B-40 / SHBB: 457mm/50 B-46;;;;;;;;;;;;;;x
SOV_capitalship_armament_6;BC/BB: 380mm/50 B-42 / SHBB: 457mm/50 B-51;;;;;;;;;;;;;;x
SOV_capitalship_armament_7;BC/BB: 406mm/45 Pattern 1914/15 / SHBB: 508mm/45 B-62;;;;;;;;;;;;;;x
SOV_capitalship_armament_8;BC/BB: 406mm/50 B-37 / SHBB: 508mm/50 B-65;;;;;;;;;;;;;;x
SOV_capitalship_armament_9;BC/BB: 406mm/55 B-44 / SHBB: 508mm/50 B-69;;;;;;;;;;;;;;x
SOV_capitalship_armament_AP_ammo_1;BR-420;;;;;;;;;;;;;;x
SOV_capitalship_armament_AP_ammo_2;BR-433;;;;;;;;;;;;;;x
SOV_capitalship_armament_AP_ammo_3;BR-440;;;;;;;;;;;;;;x
SOV_capitalship_armament_AP_ammo_4;BR-447 / BR-459;;;;;;;;;;;;;;x
SOV_capitalship_armament_AP_ammo_5;BR-452 / BR-469;;;;;;;;;;;;;;x
SOV_capitalship_armament_AP_ammo_6;BR-460 / BR-469B;;;;;;;;;;;;;;x
SOV_capitalship_armament_AP_ammo_7;BR-471 / BR-475;;;;;;;;;;;;;;x
SOV_capitalship_armament_AP_ammo_8;BR-471B / BR-475B;;;;;;;;;;;;;;x
SOV_capitalship_armament_AP_ammo_9;BR-474 / BR-495B;;;;;;;;;;;;;;x
SOV_capitalship_armament_HE_ammo_1;OF-460;;;;;;;;;;;;;;x
SOV_capitalship_armament_HE_ammo_2;OF-460B;;;;;;;;;;;;;;x
SOV_capitalship_armament_HE_ammo_3;OF-471;;;;;;;;;;;;;;x
SOV_capitalship_armament_HE_ammo_4;OF-471N / BR-473F;;;;;;;;;;;;;;x
SOV_capitalship_armament_HE_ammo_5;BR-472 / BR-478;;;;;;;;;;;;;;x
SOV_capitalship_armament_HE_ammo_6;BR-472F / BR-478F;;;;;;;;;;;;;;x
SOV_capitalship_armament_HE_ammo_7;BR-476 / BR-481;;;;;;;;;;;;;;x
SOV_capitalship_armament_HE_ammo_8;BR-476B / BR-481F;;;;;;;;;;;;;;x
SOV_capitalship_armament_HE_ammo_9;BR-479 / BR-488;;;;;;;;;;;;;;x
SOV_capitalship_secondary_1;120 mm/50 Pattern 1905, single open mounts;;;;;;;;;;;;;;x
SOV_capitalship_secondary_2;130 mm/55 Pattern 1913;;;;;;;;;;;;;;x
SOV_capitalship_secondary_3;130 mm/55 Pattern 1926;;;;;;;;;;;;;;x
SOV_capitalship_secondary_4;152 mm/57 B-38, MK-3 turrets;;;;;;;;;;;;;;x
SOV_capitalship_secondary_5;152 mm/57 B-38, MK-4 turrets;;;;;;;;;;;;;;x
SOV_capitalship_secondary_6;152 mm/57 B-38, MK-5 turrets;;;;;;;;;;;;;;x
SOV_capitalship_secondary_7;152 mm/57 B-40, MK-5 turrets;;;;;;;;;;;;;;x
SOV_capitalship_secondary_8;152 mm/57 B-43, MK-5 turrets;;;;;;;;;;;;;;x
SOV_capitalship_secondary_9;152 mm/57 B-44, MK-5 turrets;;;;;;;;;;;;;;x
SOV_capital_ship_engine_1;BC: 66.000shp / BB: 70.000shp;;;;;;;;;;;;;;x
SOV_capital_ship_engine_2;BC: 75.000shp / BB: 85.000shp;;;;;;;;;;;;;;x
SOV_capital_ship_engine_3;BC: 85.000shp / BB: 100.000shp;;;;;;;;;;;;;;x
SOV_capital_ship_engine_4;BC: 120.000shp / BB: 130.000shp;;;;;;;;;;;;;;x
SOV_capital_ship_engine_5;BC: 130.000shp / BB: 145.000shp;;;;;;;;;;;;;;x
SOV_capital_ship_engine_6;BC: 145.000shp / BB: 160.000shp;;;;;;;;;;;;;;x
SOV_capital_ship_engine_7;BC: 160.000shp / BB: 180.000shp;;;;;;;;;;;;;;x
SOV_capital_ship_engine_8;BC: 180.000shp / BB: 200.000shp;;;;;;;;;;;;;;x
SOV_capital_ship_engine_9;BC: 200.000shp / BB: 215.000shp;;;;;;;;;;;;;;x
SOV_capital_ship_boilers_1;24x Yarrow, 17kg/cm2;;;;;;;;;;;;;;x
SOV_capital_ship_boilers_2;24x KV-1, 20kg/cm2;;;;;;;;;;;;;;x
SOV_capital_ship_boilers_3;16x KV-76/KV-77, 30kg/cm2;;;;;;;;;;;;;;x
SOV_capital_ship_boilers_4;16x KV-77/KV-78, 32kg/cm2;;;;;;;;;;;;;;x
