##################################################################
# BATTLESHIPS
##################################################################

battleship.0 = {
	light_warship_screws_rudder_optimisation = 5
}
motor_torpedo_boat.9 = {
	destroyer_technology = 1
	motor_torpedo_boat_class = 9
	light_warship_engine = 9
	light_warship_screws_rudder_optimisation = 6
}
motor_torpedo_boat.10 = {
	destroyer_technology = 1
	motor_torpedo_boat_class = 10
	light_warship_engine = 10
	light_warship_screws_rudder_optimisation = 7
}
motor_torpedo_boat.11 = {
	destroyer_technology = 1
	motor_torpedo_boat_class = 11
	light_warship_engine = 11
	light_warship_screws_rudder_optimisation = 8
}

##################################################################
# CARRIERS
##################################################################

carrier.0 = {
    carrier_technology = 0
    carrier_class = 0
	carrier_hanger = 0
	capital_ship_engine = 0
	capital_ship_boilers = 0
	capital_ship_turbines = 0
	carrier_screws_optimisation = 0
	carrier_rudder_optimisation = 0
	carrier_hull_shape_optimisation = 0
	carrier_armour_thickness = 0
	carrier_vertical_protection = 0
	carrier_horizontal_protection = 0
	carrier_torpedo_protection = 0
	carrier_bulkheads_thickness = 0
	carrier_heavy_anti_air_artillery = 0
}
carrier.1 = {
    carrier_technology = 1
    carrier_class = 0
	carrier_hanger = 1
	capital_ship_engine = 1
	capital_ship_boilers = 1
	capital_ship_turbines = 1
	carrier_screws_optimisation = 1
	carrier_rudder_optimisation = 1
	carrier_hull_shape_optimisation = 1
	carrier_armour_thickness = 1
	carrier_vertical_protection = 1
	carrier_horizontal_protection = 1
	carrier_torpedo_protection = 1
	carrier_bulkheads_thickness = 1
	carrier_heavy_anti_air_artillery = 0
}
carrier.2 = {
    carrier_technology = 2
    carrier_class = 0
	carrier_hanger = 2
	capital_ship_engine = 2
	capital_ship_boilers = 2
	capital_ship_turbines = 2
	carrier_screws_optimisation = 2
	carrier_rudder_optimisation = 2
	carrier_hull_shape_optimisation = 2
	carrier_armour_thickness = 2
	carrier_vertical_protection = 2
	carrier_horizontal_protection = 2
	carrier_torpedo_protection = 2
	carrier_bulkheads_thickness = 2
	carrier_heavy_anti_air_artillery = 0
}
carrier.3 = {
    carrier_technology = 3
    carrier_class = 0
	carrier_hanger = 3
	capital_ship_engine = 3
	capital_ship_boilers = 3
	capital_ship_turbines = 3
	carrier_screws_optimisation = 3
	carrier_rudder_optimisation = 3
	carrier_hull_shape_optimisation = 3
	carrier_armour_thickness = 3
	carrier_vertical_protection = 3
	carrier_horizontal_protection = 3
	carrier_torpedo_protection = 3
	carrier_bulkheads_thickness = 3
	carrier_heavy_anti_air_artillery = 0
}
carrier.4 = {
    carrier_technology = 3
    carrier_class = 1
	carrier_hanger = 4
	capital_ship_engine = 4
	capital_ship_boilers = 4
	capital_ship_turbines = 4
	carrier_screws_optimisation = 4
	carrier_rudder_optimisation = 4
	carrier_hull_shape_optimisation = 4
	carrier_armour_thickness = 4
	carrier_vertical_protection = 4
	carrier_horizontal_protection = 4
	carrier_torpedo_protection = 4
	carrier_bulkheads_thickness = 4
	carrier_heavy_anti_air_artillery = 0
}
carrier.5 = {
    carrier_technology = 3
    carrier_class = 2
	carrier_hanger = 5
	capital_ship_engine = 5
	capital_ship_boilers = 5
	capital_ship_turbines = 5
	carrier_screws_optimisation = 5
	carrier_rudder_optimisation = 5
	carrier_hull_shape_optimisation = 5
	carrier_armour_thickness = 5
	carrier_vertical_protection = 5
	carrier_horizontal_protection = 5
	carrier_torpedo_protection = 5
	carrier_bulkheads_thickness = 5
	carrier_heavy_anti_air_artillery = 0
}
carrier.6 = {
	carrier_technology = 3
	carrier_class = 3
	carrier_hanger = 6
	capital_ship_engine = 6
	capital_ship_boilers = 6
	capital_ship_turbines = 6
	carrier_screws_optimisation = 6
	carrier_rudder_optimisation = 6
	carrier_hull_shape_optimisation = 6
	carrier_armour_thickness = 6
	carrier_vertical_protection = 6
	carrier_horizontal_protection = 6
	carrier_torpedo_protection = 6
	carrier_bulkheads_thickness = 6
	carrier_heavy_anti_air_artillery = 0
}
carrier.7 = {
	carrier_technology = 3
	carrier_class = 4
	carrier_hanger = 7
	capital_ship_engine = 7
	capital_ship_boilers = 7
	capital_ship_turbines = 7
	carrier_screws_optimisation = 7
	carrier_rudder_optimisation = 7
	carrier_hull_shape_optimisation = 7
	carrier_armour_thickness = 7
	carrier_vertical_protection = 7
	carrier_horizontal_protection = 7
	carrier_torpedo_protection = 7
	carrier_bulkheads_thickness = 7
	carrier_heavy_anti_air_artillery = 0
}
carrier.8 = {
    carrier_technology = 3
    carrier_class = 5
	carrier_hanger = 8
	capital_ship_engine = 8
	capital_ship_boilers = 8
	capital_ship_turbines = 8
	carrier_screws_optimisation = 8
	carrier_rudder_optimisation = 8
	carrier_hull_shape_optimisation = 8
	carrier_armour_thickness = 8
	carrier_vertical_protection = 8
	carrier_horizontal_protection = 8
	carrier_torpedo_protection = 8
	carrier_bulkheads_thickness = 8
	carrier_heavy_anti_air_artillery = 0
}
carrier.9 = {
    carrier_technology = 3
    carrier_class = 6
	carrier_hanger = 9
	capital_ship_engine = 9
	capital_ship_boilers = 9
	capital_ship_turbines = 9
	carrier_screws_optimisation = 9
	carrier_rudder_optimisation = 9
	carrier_hull_shape_optimisation = 9
	carrier_armour_thickness = 9
	carrier_vertical_protection = 9
	carrier_horizontal_protection = 9
	carrier_torpedo_protection = 9
	carrier_bulkheads_thickness = 9
	carrier_heavy_anti_air_artillery = 0
}

##################################################################
# SUPER CARRIERS
##################################################################

super_carrier.0 = {
    super_carrier_technology = 0
}
super_carrier.1 = {
    super_carrier_technology = 1
}
super_carrier.2 = {
    super_carrier_technology = 2
}
super_carrier.3 = {
    super_carrier_technology = 3
}

##################################################################
# LIGHT AIRCRAFT CARRIERS
##################################################################

light_carrier.0 = {
	light_carrier_technology = 0
	cruiser_engine_and_boilers = 0
	carrier_heavy_anti_air_artillery = 0
	carrier_screws_optimisation = 0
	carrier_rudder_optimisation = 0
	carrier_hull_shape_optimisation = 0
	light_carrier_armour_thickness = 0
	carrier_vertical_protection = 0
	carrier_horizontal_protection = 0
	carrier_torpedo_protection = 0
	carrier_bulkheads_thickness = 0
	carrier_catapults = 0
	Independence_class_tech = 0
}
light_carrier.1 = {
	light_carrier_technology = 1
	cruiser_engine_and_boilers = 1
	carrier_heavy_anti_air_artillery = 0
	carrier_screws_optimisation = 1
	carrier_rudder_optimisation = 1
	carrier_hull_shape_optimisation = 1
	light_carrier_armour_thickness = 1
	carrier_vertical_protection = 1
	carrier_horizontal_protection = 1
	carrier_torpedo_protection = 1
	carrier_bulkheads_thickness = 1
	carrier_catapults = 1
	Independence_class_tech = 0
}
light_carrier.2 = {
	light_carrier_technology = 2
	cruiser_engine_and_boilers = 2
	carrier_heavy_anti_air_artillery = 0
	carrier_screws_optimisation = 2
	carrier_rudder_optimisation = 2
	carrier_hull_shape_optimisation = 2
	light_carrier_armour_thickness = 2
	carrier_vertical_protection = 2
	carrier_horizontal_protection = 2
	carrier_torpedo_protection = 2
	carrier_bulkheads_thickness = 2
	carrier_catapults = 2
	Independence_class_tech = 0
}
light_carrier.3 = {
	light_carrier_technology = 3
	cruiser_engine_and_boilers = 3
	carrier_heavy_anti_air_artillery = 0
	carrier_screws_optimisation = 3
	carrier_rudder_optimisation = 3
	carrier_hull_shape_optimisation = 3
	light_carrier_armour_thickness = 3
	carrier_vertical_protection = 3
	carrier_horizontal_protection = 3
	carrier_torpedo_protection = 3
	carrier_bulkheads_thickness = 3
	carrier_catapults = 3
	Independence_class_tech = 0
}
light_carrier.4 = {
	light_carrier_technology = 4
	cruiser_engine_and_boilers = 4
	carrier_heavy_anti_air_artillery = 0
	carrier_screws_optimisation = 4
	carrier_rudder_optimisation = 4
	carrier_hull_shape_optimisation = 4
	light_carrier_armour_thickness = 4
	carrier_vertical_protection = 4
	carrier_horizontal_protection = 4
	carrier_torpedo_protection = 4
	carrier_bulkheads_thickness = 4
	carrier_catapults = 4
	Independence_class_tech = 0
}
light_carrier.5 = {
	light_carrier_technology = 5
	cruiser_engine_and_boilers = 5
	carrier_heavy_anti_air_artillery = 0
	carrier_screws_optimisation = 5
	carrier_rudder_optimisation = 5
	carrier_hull_shape_optimisation = 5
	light_carrier_armour_thickness = 5
	carrier_vertical_protection = 5
	carrier_horizontal_protection = 5
	carrier_torpedo_protection = 5
	carrier_bulkheads_thickness = 5
	carrier_catapults = 5
	Independence_class_tech = 1
}
light_carrier.6 = {
	light_carrier_technology = 6
	cruiser_engine_and_boilers = 6
	carrier_heavy_anti_air_artillery = 0
	carrier_screws_optimisation = 6
	carrier_rudder_optimisation = 6
	carrier_hull_shape_optimisation = 6
	light_carrier_armour_thickness = 6
	carrier_vertical_protection = 6
	carrier_horizontal_protection = 6
	carrier_torpedo_protection = 6
	carrier_bulkheads_thickness = 6
	carrier_catapults = 6
	Independence_class_tech = 1
}
light_carrier.7 = {
	light_carrier_technology = 7
	cruiser_engine_and_boilers = 7
	carrier_heavy_anti_air_artillery = 0
	carrier_screws_optimisation = 7
	carrier_rudder_optimisation = 7
	carrier_hull_shape_optimisation = 7
	light_carrier_armour_thickness = 7
	carrier_vertical_protection = 7
	carrier_horizontal_protection = 7
	carrier_torpedo_protection = 7
	carrier_bulkheads_thickness = 7
	carrier_catapults = 7
	Independence_class_tech = 1
}
light_carrier.8 = {
	light_carrier_technology = 8
	cruiser_engine_and_boilers = 8
	carrier_heavy_anti_air_artillery = 0
	carrier_screws_optimisation = 8
	carrier_rudder_optimisation = 8
	carrier_hull_shape_optimisation = 8
	light_carrier_armour_thickness = 8
	carrier_vertical_protection = 8
	carrier_horizontal_protection = 8
	carrier_torpedo_protection = 8
	carrier_bulkheads_thickness = 8
	carrier_catapults = 8
	Independence_class_tech = 1
}
light_carrier.9 = {
	light_carrier_technology = 9
	cruiser_engine_and_boilers = 9
	carrier_heavy_anti_air_artillery = 0
	carrier_screws_optimisation = 9
	carrier_rudder_optimisation = 9
	carrier_hull_shape_optimisation = 9
	light_carrier_armour_thickness = 9
	carrier_vertical_protection = 9
	carrier_horizontal_protection = 9
	carrier_torpedo_protection = 9
	carrier_bulkheads_thickness = 9
	carrier_catapults = 9
	Independence_class_tech = 1
}

##################################################################
# ESCORT CARRIERS
##################################################################

escort_carrier.0 = {
    light_carrier_technology = 5
	cruiser_engine_and_boilers = 5
	carrier_heavy_anti_air_artillery = 0
	carrier_screws_optimisation = 5
	carrier_rudder_optimisation = 5
	carrier_hull_shape_optimisation = 5
	light_carrier_armour_thickness = 5
	carrier_vertical_protection = 5
	carrier_horizontal_protection = 5
	carrier_torpedo_protection = 5
	carrier_bulkheads_thickness = 5
	carrier_catapults = 5
}
escort_carrier.1 = {
    light_carrier_technology = 6
	cruiser_engine_and_boilers = 6
	carrier_heavy_anti_air_artillery = 0
	carrier_screws_optimisation = 6
	carrier_rudder_optimisation = 6
	carrier_hull_shape_optimisation = 6
	light_carrier_armour_thickness = 6
	carrier_vertical_protection = 6
	carrier_horizontal_protection = 6
	carrier_torpedo_protection = 6
	carrier_bulkheads_thickness = 6
	carrier_catapults = 6
}
escort_carrier.2 = {
    light_carrier_technology = 7
	cruiser_engine_and_boilers = 7
	carrier_heavy_anti_air_artillery = 0
	carrier_screws_optimisation = 7
	carrier_rudder_optimisation = 7
	carrier_hull_shape_optimisation = 7
	light_carrier_armour_thickness = 7
	carrier_vertical_protection = 7
	carrier_horizontal_protection = 7
	carrier_torpedo_protection = 7
	carrier_bulkheads_thickness = 7
	carrier_catapults = 7
}
escort_carrier.3 = {
    light_carrier_technology = 8
	cruiser_engine_and_boilers = 8
	carrier_heavy_anti_air_artillery = 0
	carrier_screws_optimisation = 8
	carrier_rudder_optimisation = 8
	carrier_hull_shape_optimisation = 8
	light_carrier_armour_thickness = 8
	carrier_vertical_protection = 8
	carrier_horizontal_protection = 8
	carrier_torpedo_protection = 8
	carrier_bulkheads_thickness = 8
	carrier_catapults = 8
}
escort_carrier.4 = {
    light_carrier_technology = 9
	cruiser_engine_and_boilers = 9
	carrier_heavy_anti_air_artillery = 0
	carrier_screws_optimisation = 9
	carrier_rudder_optimisation = 9
	carrier_hull_shape_optimisation = 9
	light_carrier_armour_thickness = 9
	carrier_vertical_protection = 9
	carrier_horizontal_protection = 9
	carrier_torpedo_protection = 9
	carrier_bulkheads_thickness = 9
	carrier_catapults = 9
}

##################################################################
# BATTLECRUISERS
##################################################################

battlecruiser.0 = {
	battlecruiser_technology = 0
    battlecruiser_class = 0
    capitalship_armament = 0
    capitalship_secondary = 0
    capital_ship_engine = 0
    capital_ship_boilers = 0
    capital_ship_turbines = 0
    capital_ship_screws_optimisation = 0
    capital_ship_rudder_optimisation = 0
    capital_ship_hull_shape_optimisation = 0
    battlecruiser_armour_thickness = 0
    capital_ship_vertical_protection = 0
    capital_ship_horizontal_protection = 0
    capital_ship_torpedo_protection = 0
    capital_ship_bulkheads_thickness = 0
    capital_ship_heavy_anti_air_artillery = 0
}
battlecruiser.1 = {
	battlecruiser_technology = 1
    battlecruiser_class = 0
    capitalship_armament = 1
    capitalship_secondary = 1
    capital_ship_engine = 1
    capital_ship_boilers = 1
    capital_ship_turbines = 1
    capital_ship_screws_optimisation = 1
    capital_ship_rudder_optimisation = 1
    capital_ship_hull_shape_optimisation = 1
    battlecruiser_armour_thickness = 1
    capital_ship_vertical_protection = 1
    capital_ship_horizontal_protection = 1
    capital_ship_torpedo_protection = 1
    capital_ship_bulkheads_thickness = 1
    capital_ship_heavy_anti_air_artillery = 0
}
battlecruiser.2 = {
	battlecruiser_technology = 2
    battlecruiser_class = 0
    capitalship_armament = 2
    capitalship_secondary = 2
    capital_ship_engine = 2
    capital_ship_boilers = 2
    capital_ship_turbines = 2
    capital_ship_screws_optimisation = 2
    capital_ship_rudder_optimisation = 2
    capital_ship_hull_shape_optimisation = 2
    battlecruiser_armour_thickness = 2
    capital_ship_vertical_protection = 2
    capital_ship_horizontal_protection = 2
    capital_ship_torpedo_protection = 2
    capital_ship_bulkheads_thickness = 2
    capital_ship_heavy_anti_air_artillery = 0
}
battlecruiser.3 = {
	battlecruiser_technology = 3
    battlecruiser_class = 0
    capitalship_armament = 3
    capitalship_secondary = 3
    capital_ship_engine = 3
    capital_ship_boilers = 3
    capital_ship_turbines = 3
    capital_ship_screws_optimisation = 3
    capital_ship_rudder_optimisation = 3
    capital_ship_hull_shape_optimisation = 3
    battlecruiser_armour_thickness = 3
    capital_ship_vertical_protection = 3
    capital_ship_horizontal_protection = 3
    capital_ship_torpedo_protection = 3
    capital_ship_bulkheads_thickness = 3
    capital_ship_heavy_anti_air_artillery = 0
}
battlecruiser.4 = {
	battlecruiser_technology = 3
    battlecruiser_class = 1
    capitalship_armament = 4
    capitalship_secondary = 4
    capital_ship_engine = 4
    capital_ship_boilers = 4
    capital_ship_turbines = 4
    capital_ship_screws_optimisation = 4
    capital_ship_rudder_optimisation = 4
    capital_ship_hull_shape_optimisation = 4
    battlecruiser_armour_thickness = 4
    capital_ship_vertical_protection = 4
    capital_ship_horizontal_protection = 4
    capital_ship_torpedo_protection = 4
    capital_ship_bulkheads_thickness = 4
    capital_ship_heavy_anti_air_artillery = 0
}
battlecruiser.5 = {
	battlecruiser_technology = 3
    battlecruiser_class = 2
    capitalship_armament = 5
    capitalship_secondary = 5
    capital_ship_engine = 5
    capital_ship_boilers = 5
    capital_ship_turbines = 5
    capital_ship_screws_optimisation = 5
    capital_ship_rudder_optimisation = 5
    capital_ship_hull_shape_optimisation = 5
    battlecruiser_armour_thickness = 5
    capital_ship_vertical_protection = 5
    capital_ship_horizontal_protection = 5
    capital_ship_torpedo_protection = 5
    capital_ship_bulkheads_thickness = 5
    capital_ship_heavy_anti_air_artillery = 0
}
battlecruiser.6 = {
	battlecruiser_technology = 3
    battlecruiser_class = 3
    capitalship_armament = 6
    capitalship_secondary = 6
    capital_ship_engine = 6
    capital_ship_boilers = 6
    capital_ship_turbines = 6
    capital_ship_screws_optimisation = 6
    capital_ship_rudder_optimisation = 6
    capital_ship_hull_shape_optimisation = 6
    battlecruiser_armour_thickness = 6
    capital_ship_vertical_protection = 6
    capital_ship_horizontal_protection = 6
    capital_ship_torpedo_protection = 6
    capital_ship_bulkheads_thickness = 6
    capital_ship_heavy_anti_air_artillery = 0
}
battlecruiser.7 = {
	battlecruiser_technology = 3
    battlecruiser_class = 4
    capitalship_armament = 7
    capitalship_secondary = 7
    capital_ship_engine = 7
    capital_ship_boilers = 7
    capital_ship_turbines = 7
    capital_ship_screws_optimisation = 7
    capital_ship_rudder_optimisation = 7
    capital_ship_hull_shape_optimisation = 7
    battlecruiser_armour_thickness = 7
    capital_ship_vertical_protection = 7
    capital_ship_horizontal_protection = 7
    capital_ship_torpedo_protection = 7
    capital_ship_bulkheads_thickness = 7
    capital_ship_heavy_anti_air_artillery = 0
}
battlecruiser.8 = {
	battlecruiser_technology = 3
    battlecruiser_class = 5
    capitalship_armament = 8
    capitalship_secondary = 8
    capital_ship_engine = 8
    capital_ship_boilers = 8
    capital_ship_turbines = 8
    capital_ship_screws_optimisation = 8
    capital_ship_rudder_optimisation = 8
    capital_ship_hull_shape_optimisation = 8
    battlecruiser_armour_thickness = 8
    capital_ship_vertical_protection = 8
    capital_ship_horizontal_protection = 8
    capital_ship_torpedo_protection = 8
    capital_ship_bulkheads_thickness = 8
    capital_ship_heavy_anti_air_artillery = 0
}
battlecruiser.9 = {
	battlecruiser_technology = 3
    battlecruiser_class = 6
    capitalship_armament = 9
    capitalship_secondary = 9
    capital_ship_engine = 9
    capital_ship_boilers = 9
    capital_ship_turbines = 9
    capital_ship_screws_optimisation = 9
    capital_ship_rudder_optimisation = 9
    capital_ship_hull_shape_optimisation = 9
    battlecruiser_armour_thickness = 9
    capital_ship_vertical_protection = 9
    capital_ship_horizontal_protection = 9
    capital_ship_torpedo_protection = 9
    capital_ship_bulkheads_thickness = 9
    capital_ship_heavy_anti_air_artillery = 0
}

##################################################################
# POCKET BATTLESHIPS
##################################################################

pocket_battleship.0 = {
    pocket_battleship_activation = 0
	capitalship_armament = 0
	cruiser_engine_and_boilers = 0
	cruiser_screws_and_rudder_optimisation = 0
	cruiser_hull_shape_optimisation = 0
	heavy_cruiser_armour_thickness = 0
	cruiser_bulkheads_thickness = 0
	cruiser_horizontal_protection_layout = 0
	cruiser_vertical_protection_layout = 0
}

pocket_battleship.1 = {
    pocket_battleship_activation = 1
	capitalship_armament = 1
	cruiser_engine_and_boilers = 3
	cruiser_screws_and_rudder_optimisation = 3
	cruiser_hull_shape_optimisation = 3
	heavy_cruiser_armour_thickness = 3
	cruiser_bulkheads_thickness = 3
	cruiser_horizontal_protection_layout = 3
	cruiser_vertical_protection_layout = 3
}

pocket_battleship.2 = {
    pocket_battleship_activation = 2
	capitalship_armament = 2
	cruiser_engine_and_boilers = 4
	cruiser_screws_and_rudder_optimisation = 4
	cruiser_hull_shape_optimisation = 4
	heavy_cruiser_armour_thickness = 4
	cruiser_bulkheads_thickness = 4
	cruiser_horizontal_protection_layout = 4
	cruiser_vertical_protection_layout = 4
}

pocket_battleship.3 = {
    pocket_battleship_activation = 3
	capitalship_armament = 3
	cruiser_engine_and_boilers = 5
	cruiser_screws_and_rudder_optimisation = 5
	cruiser_hull_shape_optimisation = 5
	heavy_cruiser_armour_thickness = 5
	cruiser_bulkheads_thickness = 5
	cruiser_horizontal_protection_layout = 5
	cruiser_vertical_protection_layout = 5
}

pocket_battleship.4 = {
    pocket_battleship_activation = 4
	capitalship_armament = 4
	cruiser_engine_and_boilers = 6
	cruiser_screws_and_rudder_optimisation = 6
	cruiser_hull_shape_optimisation = 6
	heavy_cruiser_armour_thickness = 6
	cruiser_bulkheads_thickness = 6
	cruiser_horizontal_protection_layout = 6
	cruiser_vertical_protection_layout = 6
}

pocket_battleship.5 = {
    pocket_battleship_activation = 5
	capitalship_armament = 5
	cruiser_engine_and_boilers = 7
	cruiser_screws_and_rudder_optimisation = 7
	cruiser_hull_shape_optimisation = 7
	heavy_cruiser_armour_thickness = 7
	cruiser_bulkheads_thickness = 7
	cruiser_horizontal_protection_layout = 7
	cruiser_vertical_protection_layout = 7
}

pocket_battleship.6 = {
    pocket_battleship_activation = 6
	capitalship_armament = 6
	cruiser_engine_and_boilers = 8
	cruiser_screws_and_rudder_optimisation = 8
	cruiser_hull_shape_optimisation = 8
	heavy_cruiser_armour_thickness = 8
	cruiser_bulkheads_thickness = 8
	cruiser_horizontal_protection_layout = 8
	cruiser_vertical_protection_layout = 8
}

##################################################################
# COASTAL BATTLESHIPS
##################################################################

coastal_battleship.0 = {
    battleship_technology = 0
    capitalship_armament = 0
    capitalship_secondary = 0
    capital_ship_engine = 0
    capital_ship_boilers = 0
    capital_ship_turbines = 0
    capital_ship_screws_optimisation = 0
    capital_ship_rudder_optimisation = 0
    capital_ship_hull_shape_optimisation = 0
    battleship_armour_thickness = 0
    capital_ship_vertical_protection = 0
    capital_ship_horizontal_protection = 0
    capital_ship_torpedo_protection = 0
    capital_ship_bulkheads_thickness = 0
    capital_ship_heavy_anti_air_artillery = 0
}
coastal_battleship.1 = {
    battleship_technology = 1
    capitalship_armament = 1
    capitalship_secondary = 0
    capital_ship_engine = 1
    capital_ship_boilers = 1
    capital_ship_turbines = 1
    capital_ship_screws_optimisation = 1
    capital_ship_rudder_optimisation = 1
    capital_ship_hull_shape_optimisation = 1
    battleship_armour_thickness = 1
    capital_ship_vertical_protection = 1
    capital_ship_horizontal_protection = 1
    capital_ship_torpedo_protection = 1
    capital_ship_bulkheads_thickness = 1
    capital_ship_heavy_anti_air_artillery = 0
}
coastal_battleship.2 = {
    battleship_technology = 2
    capitalship_armament = 2
    capitalship_secondary = 0
    capital_ship_engine = 2
    capital_ship_boilers = 2
    capital_ship_turbines = 2
    capital_ship_screws_optimisation = 2
    capital_ship_rudder_optimisation = 2
    capital_ship_hull_shape_optimisation = 2
    battleship_armour_thickness = 2
    capital_ship_vertical_protection = 2
    capital_ship_horizontal_protection = 2
    capital_ship_torpedo_protection = 2
    capital_ship_bulkheads_thickness = 2
    capital_ship_heavy_anti_air_artillery = 0
}
coastal_battleship.3 = {
    battleship_technology = 3
    capitalship_armament = 3
    capitalship_secondary = 0
    capital_ship_engine = 3
    capital_ship_boilers = 3
    capital_ship_turbines = 3
    capital_ship_screws_optimisation = 3
    capital_ship_rudder_optimisation = 3
    capital_ship_hull_shape_optimisation = 3
    battleship_armour_thickness = 3
    capital_ship_vertical_protection = 3
    capital_ship_horizontal_protection = 3
    capital_ship_torpedo_protection = 3
    capital_ship_bulkheads_thickness = 3
    capital_ship_heavy_anti_air_artillery = 0
}

##################################################################
# SUBMARINES
##################################################################

submarine.0 = {
	submarine_technology = 1
	submarine_class = 0
	submarine_hull = 0
	submarine_engine = 0
	submarine_crew_berthing = 1
	submarine_torpedo_tubes = 0
	submarine_periscope = 0
	submarine_battery = 0
	submarine_thick_pressure_hull = 0
}
submarine.1 = {
	submarine_technology = 1
	submarine_class = 1
	submarine_hull = 1
	submarine_engine = 1
	submarine_crew_berthing = 1
	submarine_torpedo_tubes = 1
	submarine_periscope = 1
	submarine_battery = 1
	submarine_thick_pressure_hull = 0
}
submarine.2 = {
	submarine_technology = 1
	submarine_class = 2
	submarine_hull = 2
	submarine_engine = 2
	submarine_crew_berthing = 2
	submarine_torpedo_tubes = 2
	submarine_periscope = 2
	submarine_battery = 2
	submarine_thick_pressure_hull = 0
}
submarine.3 = {
	submarine_technology = 1
	submarine_class = 3
	submarine_hull = 3
	submarine_engine = 3
	submarine_crew_berthing = 3
	submarine_torpedo_tubes = 3
	submarine_periscope = 3
	submarine_battery = 3
	submarine_thick_pressure_hull = 0
}
submarine.4 = {
	submarine_technology = 1
	submarine_class = 4
	submarine_hull = 4
	submarine_engine = 4
	submarine_crew_berthing = 4
	submarine_torpedo_tubes = 3
	submarine_periscope = 3
	submarine_battery = 3
	submarine_thick_pressure_hull = 0
}
submarine.5 = {
	submarine_technology = 1
	submarine_class = 5
	submarine_hull = 5
	submarine_engine = 5
	submarine_crew_berthing = 5
	submarine_torpedo_tubes = 4
	submarine_periscope = 4
	submarine_battery = 4
	submarine_thick_pressure_hull = 0
}
submarine.6 = {
	submarine_technology = 1
	submarine_class = 6
	submarine_hull = 6
	submarine_engine = 6
	submarine_crew_berthing = 6
	submarine_torpedo_tubes = 5
	submarine_periscope = 5
	submarine_battery = 5
	submarine_thick_pressure_hull = 1
}
submarine.7 = {
	submarine_technology = 1
	submarine_class = 7
	submarine_hull = 7
	submarine_engine = 7
	submarine_crew_berthing = 7
	submarine_torpedo_tubes = 5
	submarine_periscope = 5
	submarine_battery = 5
	submarine_thick_pressure_hull = 1
}
submarine.8 = {
	submarine_technology = 1
	submarine_class = 8
	submarine_hull = 8
	submarine_engine = 8
	submarine_crew_berthing = 8
	submarine_torpedo_tubes = 6
	submarine_periscope = 6
	submarine_battery = 6
	submarine_thick_pressure_hull = 1
}
submarine.9 = {
	submarine_technology = 1
	submarine_class = 9
	submarine_hull = 9
	submarine_engine = 9
	submarine_crew_berthing = 9
	submarine_torpedo_tubes = 7
	submarine_periscope = 7
	submarine_battery = 7
	submarine_thick_pressure_hull = 1
}
submarine.10 = {
	submarine_technology = 1
	submarine_class = 10
	submarine_hull = 10
	submarine_engine = 10
	submarine_crew_berthing = 10
	submarine_torpedo_tubes = 8
	submarine_periscope = 8
	submarine_battery = 8
	submarine_thick_pressure_hull = 1
}
submarine.11 = {
	submarine_technology = 1
	submarine_class = 11
	submarine_hull = 11
	submarine_engine = 11
	submarine_crew_berthing = 11
	submarine_torpedo_tubes = 9
	submarine_periscope = 9
	submarine_battery = 9
	submarine_thick_pressure_hull = 1
}
##################################################################
# COASTAL SUBMARINES
##################################################################

coastal_submarine.0 = {
	coastal_submarine_class = 0
	submarine_hull = 0
	submarine_engine = 0
	submarine_crew_berthing = 1
	submarine_torpedo_tubes = 0
	submarine_periscope = 0
	submarine_battery = 0
}
coastal_submarine.1 = {
	coastal_submarine_class = 1
	submarine_hull = 1
	submarine_engine = 1
	submarine_crew_berthing = 1
	submarine_torpedo_tubes = 1
	submarine_periscope = 1
	submarine_battery = 1
}
coastal_submarine.2 = {
	coastal_submarine_class = 2
	submarine_hull = 2
	submarine_engine = 2
	submarine_crew_berthing = 2
	submarine_torpedo_tubes = 2
	submarine_periscope = 2
	submarine_battery = 2
}
coastal_submarine.3 = {
	coastal_submarine_class = 3
	submarine_hull = 3
	submarine_engine = 3
	submarine_crew_berthing = 3
	submarine_torpedo_tubes = 2
	submarine_periscope = 2
	submarine_battery = 3
}
coastal_submarine.4 = {
	coastal_submarine_class = 4
	submarine_hull = 4
	submarine_engine = 4
	submarine_crew_berthing = 4
	submarine_torpedo_tubes = 3
	submarine_periscope = 3
	submarine_battery = 3
}
coastal_submarine.5 = {
	coastal_submarine_class = 5
	submarine_hull = 5
	submarine_engine = 5
	submarine_crew_berthing = 5
	submarine_torpedo_tubes = 4
	submarine_periscope = 4
	submarine_battery = 4
}
coastal_submarine.6 = {
	coastal_submarine_class = 6
	submarine_hull = 6
	submarine_engine = 6
	submarine_crew_berthing = 6
	submarine_torpedo_tubes = 4
	submarine_periscope = 4
	submarine_battery = 4
}
coastal_submarine.7 = {
	coastal_submarine_class = 7
	submarine_hull = 7
	submarine_engine = 7
	submarine_crew_berthing = 7
	submarine_torpedo_tubes = 5
	submarine_periscope = 5
	submarine_battery = 5
}

##################################################################
# LONG RANGE SUBMARINES
##################################################################

long_range_submarine.0 = {
	submarine_technology = 1
	long_range_submarine_class = 0
	submarine_hull = 0
	submarine_engine = 0
	submarine_crew_berthing = 0
	submarine_torpedo_tubes = 0
	submarine_periscope = 0
	submarine_battery = 0
	submarine_thick_pressure_hull = 0
}
long_range_submarine.1 = {
	submarine_technology = 1
