# Artillery Brigade
artillery_brigade.0 = { #1918 model I
	artillery_activation = 1
	gasoline_engine_design = 0
	improvised_armour = 0
	interlocked_armour = 0
	cast_armour = 0
	welded_armour = 0
	rivetted_armour = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
sp_rct_artillery_brigade.2 = {
	rocket_art_ammo = 2
	gun_carriage = 2
	range_finding = 1
	armor_sloped_design = 0
	armor_alloy = 0
	diesel_engine_design = 0
	gasoline_engine_design = 0
	improvised_armour = 0
	interlocked_armour = 0
	cast_armour = 0
	welded_armour = 0
	rivetted_armour = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
sp_rct_artillery_brigade.3 = {
	rocket_art_ammo = 3
	gun_carriage = 3
	range_finding = 2
	armor_sloped_design = 0
	armor_alloy = 0
	diesel_engine_design = 0
	gasoline_engine_design = 0
	improvised_armour = 0
	interlocked_armour = 0
	cast_armour = 0
	welded_armour = 0
	rivetted_armour = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
sp_rct_artillery_brigade.4 = {
	rocket_art_ammo = 4
	gun_carriage = 4
	range_finding = 2
	armor_sloped_design = 0
	armor_alloy = 0
	diesel_engine_design = 0
	gasoline_engine_design = 0
	improvised_armour = 0
	interlocked_armour = 0
	cast_armour = 0
	welded_armour = 0
	rivetted_armour = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
sp_rct_artillery_brigade.5 = {
	rocket_art_ammo = 5
	gun_carriage = 5
	range_finding = 3
	armor_sloped_design = 0
	armor_alloy = 0
	diesel_engine_design = 0
	gasoline_engine_design = 0
	improvised_armour = 0
	interlocked_armour = 0
	cast_armour = 0
	welded_armour = 0
	rivetted_armour = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
sp_rct_artillery_brigade.6 = {
	rocket_art_ammo = 6
	gun_carriage = 6
	range_finding = 3
	armor_sloped_design = 0
	armor_alloy = 0
	diesel_engine_design = 0
	gasoline_engine_design = 0
	improvised_armour = 0
	interlocked_armour = 0
	cast_armour = 0
	welded_armour = 0
	rivetted_armour = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
sp_rct_artillery_brigade.7 = {
	rocket_art_ammo = 7
	gun_carriage = 7
	range_finding = 4
	armor_sloped_design = 0
	armor_alloy = 0
	diesel_engine_design = 0
	gasoline_engine_design = 0
	improvised_armour = 0
	interlocked_armour = 0
	cast_armour = 0
	welded_armour = 0
	rivetted_armour = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
sp_rct_artillery_brigade.8 = {
	rocket_art_ammo = 8
	gun_carriage = 8
	range_finding = 4
	armor_sloped_design = 0
	armor_alloy = 0
	diesel_engine_design = 0
	gasoline_engine_design = 0
	improvised_armour = 0
	interlocked_armour = 0
	cast_armour = 0
	welded_armour = 0
	rivetted_armour = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
sp_rct_artillery_brigade.9 = {
	rocket_art_ammo = 9
	gun_carriage = 9
	range_finding = 5
	armor_sloped_design = 0
	armor_alloy = 0
	diesel_engine_design = 0
	gasoline_engine_design = 0
	improvised_armour = 0
	interlocked_armour = 0
	cast_armour = 0
	welded_armour = 0
	rivetted_armour = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
### Anti-Air
anti_air_brigade.0 = { # model I 1936
	art_barrell_ammo = 3
	gun_carriage = 2
	range_finding = 2
	small_calibre_gun_design = 1
	##at_aa_ammo = 1
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
} 
anti_air_brigade.1 = { # model II 1937
	art_barrell_ammo = 3
	gun_carriage = 3
	range_finding = 3
	small_calibre_gun_design = 2
	medium_velocity_gun = 1
	##at_aa_ammo = 2
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
}
anti_air_brigade.2 = { # model III 1939
	art_barrell_ammo = 5
	gun_carriage = 5
	range_finding = 5
	small_calibre_gun_design = 3
	medium_velocity_gun = 1
	##at_aa_ammo = 3
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
}
anti_air_brigade.3 = { # 1940
	art_barrell_ammo = 6
	gun_carriage = 5
	range_finding = 5
	small_calibre_gun_design = 3
	medium_velocity_gun = 2
	##at_aa_ammo = 3
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
}
anti_air_brigade.4 = { #1941 
	art_barrell_ammo = 6
	gun_carriage = 6
	range_finding = 6
	small_calibre_gun_design = 4
	medium_velocity_gun = 2
	##at_aa_ammo = 4
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
}
anti_air_brigade.5 = { #1942 #88mm
	art_barrell_ammo = 7
	gun_carriage = 6
	range_finding = 6
	small_calibre_gun_design = 4
	medium_velocity_gun = 3
	high_velocity_gun = 1
	##at_aa_ammo = 4
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
}
anti_air_brigade.6 = { #1943
	art_barrell_ammo = 7
	gun_carriage = 7
	range_finding = 7
	small_calibre_gun_design = 5
	medium_velocity_gun = 3
	high_velocity_gun = 2
	##at_aa_ammo = 5
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
}
anti_air_brigade.7 = { #1944
	art_barrell_ammo = 8
	gun_carriage = 7
	range_finding = 7
	small_calibre_gun_design = 5
	medium_velocity_gun = 4
	high_velocity_gun = 2
	##at_aa_ammo = 5
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
}
anti_air_brigade.8 = { #1945
	art_barrell_ammo = 8
	gun_carriage = 8
	range_finding = 8
	small_calibre_gun_design = 6
	medium_velocity_gun = 4
	high_velocity_gun = 3
	##at_aa_ammo = 6
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
}
anti_air_brigade.9 = { #1946
	art_barrell_ammo = 9
	gun_carriage = 8
	range_finding = 8
	small_calibre_gun_design = 6
	medium_velocity_gun = 5
	high_velocity_gun = 3
	##at_aa_ammo = 6
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
}
anti_air_brigade.10 = { #1948
	art_barrell_ammo = 10
	gun_carriage = 9
	range_finding = 9
	small_calibre_gun_design = 7
	medium_velocity_gun = 6
	high_velocity_gun = 4
	##at_aa_ammo = 7
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
}
anti_air_brigade.11 = { #1950
	art_barrell_ammo = 11
	gun_carriage = 10
	range_finding = 10
	small_calibre_gun_design = 8
	medium_velocity_gun = 7
	high_velocity_gun = 5
	##at_aa_ammo = 8
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
}
anti_air_brigade.12 = { #1952
	art_barrell_ammo = 12
	gun_carriage = 11
	range_finding = 11
	small_calibre_gun_design = 9
	medium_velocity_gun = 8
	high_velocity_gun = 6
	##at_aa_ammo = 9
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
}
### motorized_Anti-Air
heavy_anti_air_brigade.0 = { # model I 1936
	art_barrell_ammo = 1
	gun_carriage = 1
	range_finding = 1
	small_calibre_gun_design = 1
	medium_velocity_gun = 0
	high_velocity_gun = 0
	##at_aa_ammo = 1
	Artillery_motorization = 0
	AA_AT_Rotation = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 1
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	mobile_training = 0
	mobile_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
} 
heavy_anti_air_brigade.1 = { # model II 1937
	art_barrell_ammo = 3
	gun_carriage = 3
	range_finding = 3
	small_calibre_gun_design = 2
	medium_velocity_gun = 1
	high_velocity_gun = 0
	##at_aa_ammo = 2
	Artillery_motorization = 0
	AA_AT_Rotation = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 1
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	mobile_training = 0
	mobile_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
heavy_anti_air_brigade.2 = { # model III 1939
	art_barrell_ammo = 5
	gun_carriage = 5
	range_finding = 5
	small_calibre_gun_design = 3
	medium_velocity_gun = 1
	high_velocity_gun = 0
	##at_aa_ammo = 3
	Artillery_motorization = 0
	AA_AT_Rotation = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 1
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	mobile_training = 0
	mobile_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
heavy_anti_air_brigade.3 = { # 1940
	art_barrell_ammo = 6
	gun_carriage = 5
	range_finding = 5
	small_calibre_gun_design = 3
	medium_velocity_gun = 2
	high_velocity_gun = 0
	##at_aa_ammo = 3
	Artillery_motorization = 0
	AA_AT_Rotation = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 1
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	mobile_training = 0
	mobile_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
heavy_anti_air_brigade.4 = { #1941 
	art_barrell_ammo = 6
	gun_carriage = 6
	range_finding = 6
	small_calibre_gun_design = 4
	medium_velocity_gun = 2
	high_velocity_gun = 0
	##at_aa_ammo = 4
	Artillery_motorization = 0
	AA_AT_Rotation = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 1
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	mobile_training = 0
	mobile_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
heavy_anti_air_brigade.5 = { #1942 #88mm
	art_barrell_ammo = 7
	gun_carriage = 6
	range_finding = 6
	small_calibre_gun_design = 4
	medium_velocity_gun = 3
	high_velocity_gun = 1
	##at_aa_ammo = 4
	Artillery_motorization = 0
	AA_AT_Rotation = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 1
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	mobile_training = 0
	mobile_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
heavy_anti_air_brigade.6 = { #1943
	art_barrell_ammo = 7
	gun_carriage = 7
	range_finding = 7
	small_calibre_gun_design = 5
	medium_velocity_gun = 3
	high_velocity_gun = 2
	##at_aa_ammo = 5
	Artillery_motorization = 0
	AA_AT_Rotation = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 1
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	mobile_training = 0
	mobile_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
heavy_anti_air_brigade.7 = { #1944
	art_barrell_ammo = 8
	gun_carriage = 7
	range_finding = 7
	small_calibre_gun_design = 5
	medium_velocity_gun = 4
	high_velocity_gun = 2
	##at_aa_ammo = 5
	Artillery_motorization = 0
	AA_AT_Rotation = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 1
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	mobile_training = 0
	mobile_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
heavy_anti_air_brigade.8 = { #1945
	art_barrell_ammo = 8
	gun_carriage = 8
	range_finding = 8
	small_calibre_gun_design = 6
	medium_velocity_gun = 4
	high_velocity_gun = 3
	##at_aa_ammo = 6
	Artillery_motorization = 0
	AA_AT_Rotation = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 1
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	mobile_training = 0
	mobile_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
heavy_anti_air_brigade.9 = { #1946
	art_barrell_ammo = 9
	gun_carriage = 8
	range_finding = 8
	small_calibre_gun_design = 6
	medium_velocity_gun = 5
	high_velocity_gun = 3
	##at_aa_ammo = 6
	Artillery_motorization = 0
	AA_AT_Rotation = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 1
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	mobile_training = 0
	mobile_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
heavy_anti_air_brigade.10 = { #1948
	art_barrell_ammo = 10
	gun_carriage = 9
	range_finding = 9
	small_calibre_gun_design = 7
	medium_velocity_gun = 6
	high_velocity_gun = 4
	##at_aa_ammo = 7
	Artillery_motorization = 0
	AA_AT_Rotation = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 1
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	mobile_training = 0
	mobile_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
heavy_anti_air_brigade.11 = { #1950
	art_barrell_ammo = 11
	gun_carriage = 10
	range_finding = 10
	small_calibre_gun_design = 8
	medium_velocity_gun = 7
	high_velocity_gun = 5
	##at_aa_ammo = 8
	Artillery_motorization = 0
	AA_AT_Rotation = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 1
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	mobile_training = 0
	mobile_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
heavy_anti_air_brigade.12 = { #1952
	art_barrell_ammo = 12
	gun_carriage = 11
	range_finding = 11
	small_calibre_gun_design = 9
	medium_velocity_gun = 8
	high_velocity_gun = 6
	##at_aa_ammo = 9
	Artillery_motorization = 0
	AA_AT_Rotation = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 1
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	mobile_training = 0
	mobile_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
### Anti-tank brigade
anti_tank_brigade.0 = { #1936 AT rifle
	##at_aa_ammo = 1
	gun_carriage = 1
	range_finding = 1
	art_barrell_ammo = 1
	small_calibre_gun_design = 1 
	medium_velocity_gun = 0
	high_velocity_gun = 0
	AA_AT_Rotation = 0
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
anti_tank_brigade.1 = { #1937 30+mm
	##at_aa_ammo = 2
	gun_carriage = 3
	range_finding = 3
	art_barrell_ammo = 4
	small_calibre_gun_design = 2
	medium_velocity_gun = 0
	high_velocity_gun = 0
	AA_AT_Rotation = 0
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
anti_tank_brigade.2 = { #1938 37+mm
	##at_aa_ammo = 2
	gun_carriage = 4
	range_finding = 4
	art_barrell_ammo = 4
	small_calibre_gun_design = 2 
	medium_velocity_gun = 1
	high_velocity_gun = 0
	AA_AT_Rotation = 0
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
anti_tank_brigade.3 = { #1940 45+mm
	##at_aa_ammo = 3
	gun_carriage = 5
	range_finding = 5
	art_barrell_ammo = 6
	small_calibre_gun_design = 3
	medium_velocity_gun = 2
	high_velocity_gun = 0
	AA_AT_Rotation = 0
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
anti_tank_brigade.4 = { #1942 50+mm
	##at_aa_ammo = 4
	gun_carriage = 6
	range_finding = 6
	art_barrell_ammo = 7
	small_calibre_gun_design = 4
	medium_velocity_gun = 3
	high_velocity_gun = 1
	AA_AT_Rotation = 1
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
anti_tank_brigade.5 = { #1943 75+mm
	##at_aa_ammo = 5
	gun_carriage = 7
	range_finding = 7
	art_barrell_ammo = 7
	small_calibre_gun_design = 5 
	medium_velocity_gun = 3
	high_velocity_gun = 2
	AA_AT_Rotation = 2
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
anti_tank_brigade.6 = { #1944 88+mm
	##at_aa_ammo = 5
	gun_carriage = 7
	range_finding = 7
	art_barrell_ammo = 8
	small_calibre_gun_design = 5
	medium_velocity_gun = 4
	high_velocity_gun = 2
	AA_AT_Rotation = 3
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
anti_tank_brigade.7 = { #1945 100+mm
	##at_aa_ammo = 6
	gun_carriage = 8
	range_finding = 8
	art_barrell_ammo = 8
	small_calibre_gun_design = 6 
	medium_velocity_gun = 4
	high_velocity_gun = 3
	AA_AT_Rotation = 3
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
anti_tank_brigade.8 = { #1948 120+mm
	##at_aa_ammo = 7
	gun_carriage = 9
	range_finding = 9
	art_barrell_ammo = 10
	small_calibre_gun_design = 7
	medium_velocity_gun = 6
	high_velocity_gun = 4
	AA_AT_Rotation = 3
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
anti_tank_brigade.9 = { #1950 
	##at_aa_ammo = 8
	gun_carriage = 10
	range_finding = 10
	art_barrell_ammo = 11
	small_calibre_gun_design = 8
	medium_velocity_gun = 7
	high_velocity_gun = 5
	AA_AT_Rotation = 3
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
### Motorized Anti Tank
heavy_anti_tank_brigade.0 = {
	##at_aa_ammo = 1
	gun_carriage = 1
	range_finding = 1
	art_barrell_ammo = 1
	small_calibre_gun_design = 1 
	medium_velocity_gun = 0
	high_velocity_gun = 0
	AA_AT_Rotation = 0
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
heavy_anti_tank_brigade.1 = {
	##at_aa_ammo = 2
	gun_carriage = 3
	range_finding = 3
	art_barrell_ammo = 4
	small_calibre_gun_design = 2
	medium_velocity_gun = 0
	high_velocity_gun = 0
	AA_AT_Rotation = 0
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
heavy_anti_tank_brigade.2 = {
	##at_aa_ammo = 2
	gun_carriage = 4
	range_finding = 4
	art_barrell_ammo = 4
	small_calibre_gun_design = 2 
	medium_velocity_gun = 1
	high_velocity_gun = 0
	AA_AT_Rotation = 0
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
heavy_anti_tank_brigade.3 = {
	##at_aa_ammo = 3
	gun_carriage = 5
	range_finding = 5
	art_barrell_ammo = 6
	small_calibre_gun_design = 3
	medium_velocity_gun = 2
	high_velocity_gun = 0
	AA_AT_Rotation = 0
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
heavy_anti_tank_brigade.4 = {
	##at_aa_ammo = 4
	gun_carriage = 6
	range_finding = 6
	art_barrell_ammo = 7
	small_calibre_gun_design = 4
	medium_velocity_gun = 3
	high_velocity_gun = 1
	AA_AT_Rotation = 1
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
heavy_anti_tank_brigade.5 = {
	##at_aa_ammo = 5
	gun_carriage = 7
	range_finding = 7
	art_barrell_ammo = 7
	small_calibre_gun_design = 5 
	medium_velocity_gun = 3
	high_velocity_gun = 2
	AA_AT_Rotation = 2
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
heavy_anti_tank_brigade.6 = {
	##at_aa_ammo = 5
	gun_carriage = 7
	range_finding = 7
	art_barrell_ammo = 8
	small_calibre_gun_design = 5
	medium_velocity_gun = 4
	high_velocity_gun = 2
	AA_AT_Rotation = 3
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
heavy_anti_tank_brigade.7 = {
	##at_aa_ammo = 6
	gun_carriage = 8
	range_finding = 8
	art_barrell_ammo = 8
	small_calibre_gun_design = 6 
	medium_velocity_gun = 4
	high_velocity_gun = 3
	AA_AT_Rotation = 3
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
heavy_anti_tank_brigade.8 = {
	##at_aa_ammo = 7
	gun_carriage = 9
	range_finding = 9
	art_barrell_ammo = 10
	small_calibre_gun_design = 7
	medium_velocity_gun = 6
	high_velocity_gun = 4
	AA_AT_Rotation = 3
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
heavy_anti_tank_brigade.9 = {
	##at_aa_ammo = 8
	gun_carriage = 10
	range_finding = 10
	art_barrell_ammo = 11
	small_calibre_gun_design = 8
	medium_velocity_gun = 7
	high_velocity_gun = 5
	AA_AT_Rotation = 3
	mass_assault = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 0
	jungle_warfare_equipment = 0 
	desert_warfare_equipment = 0
}
### Self Propelled Anti Air
sp_anti_air_brigade.0 = {
	art_barrell_ammo = 1
	gun_carriage = 1
	range_finding = 1
	small_calibre_gun_design = 1
	medium_velocity_gun = 0
	high_velocity_gun = 0
	##at_aa_ammo = 1
	gasoline_engine_design = 0
	diesel_engine_design = 0
	AA_AT_Rotation = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_anti_air_brigade.1 = {
	art_barrell_ammo = 3
	gun_carriage = 3
	range_finding = 3
	small_calibre_gun_design = 2
	medium_velocity_gun = 1
	high_velocity_gun = 0
	##at_aa_ammo = 2
	gasoline_engine_design = 0
	diesel_engine_design = 0
	AA_AT_Rotation = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_anti_air_brigade.2 = {
	art_barrell_ammo = 5
	gun_carriage = 5
	range_finding = 5
	small_calibre_gun_design = 3
	medium_velocity_gun = 1
	high_velocity_gun = 0
	##at_aa_ammo = 3
	gasoline_engine_design = 0
	diesel_engine_design = 0
	AA_AT_Rotation = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_anti_air_brigade.3 = {
	art_barrell_ammo = 6
	gun_carriage = 5
	range_finding = 5
	small_calibre_gun_design = 3
	medium_velocity_gun = 2
	high_velocity_gun = 0
	##at_aa_ammo = 3
	gasoline_engine_design = 0
	diesel_engine_design = 0
	AA_AT_Rotation = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}							
sp_anti_air_brigade.4 = {
	art_barrell_ammo = 6
	gun_carriage = 6
	range_finding = 6
	small_calibre_gun_design = 4
	medium_velocity_gun = 2
	high_velocity_gun = 0
	##at_aa_ammo = 4
	gasoline_engine_design = 0
	diesel_engine_design = 0
	AA_AT_Rotation = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}							
sp_anti_air_brigade.5 = {
	art_barrell_ammo = 7
	gun_carriage = 6
	range_finding = 6
	small_calibre_gun_design = 4
